id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91853860,"Senior Associate, Product",PT Sea Group,,"As part of the IT System & Automation team, you will play a key role in modernising IT service delivery through AI-driven products and automation solutions. This includes leveraging Generative AI (GenAI), automation platforms, and data insights to enhance IT Service Management (ITSM), monitoring, incident management, and operational efficiency.

You will support the lifecycle of AI-enabled IT products, from identifying use cases and defining requirements to testing, implementation support, prompt optimisation, and continuous performance improvement. This role combines product ownership, IT operations understanding, and hands-on involvement to deliver scalable, user-centric, and efficient solutions across teams.

Own and manage the lifecycle and roadmap of AI-driven IT products, including chatbots, AI agents, automation workflows, and IT operational tools.
Identify opportunities to improve IT service operations, efficiency, automation, and decision-making through AI, LLM, and automation integration.
Deeply understand IT operation flows, service management processes, and risk considerations to identify gaps and improvement opportunities.
Gather and translate business and IT requirements into scalable AI solutions, workflows, and product features.
Design, test, and refine prompts to improve response accuracy, consistency, relevance, and user experience.
Support configuration of AI-enabled workflows using low-code platforms and collaborate with developers on system integrations, including ITSM tools, APIs, monitoring platforms, and knowledge bases.
Conduct structured testing, including scenario-based testing, edge cases, and user acceptance testing, to validate product quality and reliability.
Define and track product and operational KPIs, such as adoption rate, task completion rate, fallback rate, automation success rate, and user satisfaction.
Leverage data insights, experimentation, and feedback loops to improve system performance and business outcomes.
Work closely with IT operations teams, developers, and business stakeholders to deliver, scale, and continuously enhance AI and automation solutions.
Support rollout, user adoption, documentation, and continuous improvement of AI solutions across regional teams.
Bachelor’s degree in computer science, information technology, or a related discipline.
Min 3 years of experience in technical product, IT product delivery, platform operations, automation, or AI-enabled solution roles.
Hands-on experience in IT operations, IT service management or related IT consulting environments
Hands-on understanding of GenAI, LLMs, and AI agents, including prompt engineering, output evaluation, and concepts such as RAG, embeddings, and context management
Ability to evaluate AI responses for accuracy, relevance, consistency, hallucination risk, and usability in IT service management or operational workflows.
Exposure to low-code automation platforms (e.g, n8n), APIs, workflow automation, system integrations, or AI orchestration tools.
Experience leveraging data and observability platforms (e.g., Elastic, Splunk, Grafana) to analyse logs, user interactions, and system performance, supporting optimisation
Strong analytical mindset with the ability to use data, usage patterns, testing results, and feedback loops to improve product performance and user outcomes.
Proactive, curious, hands-on, and willing to learn in a fast-evolving AI and automation landscape",https://id.jobstreet.com/id/job/91853860,,Ai Engineer,indonesia,"['scala', 'r']",2,2026-05-02T00:35:37.448777
91853854,AI & Automation Engineer,PT Sea Group,,"As part of the IT System & Automation team, you will support the development and enhancement of AI-driven automation solutions to improve IT service delivery and operations. This includes leveraging Generative AI (GenAI), low-code platforms, and system integrations to support IT Service Management (ITSM), monitoring, and incident management processes.

You will work closely with AI Product Managers and engineers to build, test, and improve AI bots, workflows, and automation solutions, while developing hands-on experience in AI, automation, and enterprise IT systems.

Support the design and implementation of AI-driven automation solutions, including bots and workflows
Assist in building and configuring workflows using low-code platforms (e.g., Power Automate, n8n)
Help integrate solutions with enterprise systems (e.g., ITSM IT infrastructure tools, APIs, knowledge bases)
Participate in prompt setup, testing, and refinement to improve AI responses
Conduct testing (functional, scenario-based) and support troubleshooting of issues
Monitor system performance and support continuous improvements based on feedback and usage
Collaborate with AI Product Managers and developers to deliver and enhance solutions
Contribute to documentation, templates, and reusable automation components
Identify opportunities to improve efficiency through automation and AI
Bachelor’s degree in Computer Science, Information Technology, or a related discipline (or equivalent practical experience)
Min 1 year of experience (internship or project experience acceptable) in software, automation, or IT-related roles
Good understanding of programming or scripting (e.g., Python, JavaScript, or similar)
Interest or exposure to Generative AI tools (e.g., ChatGPT, Claude) and prompt usage
Familiarity with APIs, integrations, or workflow concepts is a plus
Exposure to low-code platforms (e.g., Power Automate, n8n) or willingness to learn
Basic understanding of IT systems or ITSM concepts is an advantage
Strong willingness to learn, experiment, and work with new technologies",https://id.jobstreet.com/id/job/91853854,,Ai Engineer,indonesia,"['python', 'r', 'java', 'javascript']",4,2026-05-02T00:35:41.714453
91845414,AI Officer (Part-Time/Project-Based),PT Intinusa Teknik Sejahtera,,"PT. Intinusa Teknik Sejahtera saat ini sedang mencari AI Officer yang dapat membangun model estimasi berbasis AI yang akan langsung dibandingkan dengan keputusan manusia dan hasil aktual di lapangan.

📍 Lokasi: Hybrid/Remote (Flexible)
🕒 Tipe: Part-time/Project-based

🎯 Scope & Impact Role Ini
• Membangun dan mengembangkan model estimasi berbasis AI/ML untuk kebutuhan bisnis
• Mengolah data historis (cleaning, labeling, validation) sebagai fondasi model
• Melakukan benchmarking 3 arah: Model AI vs Estimasi Manusia vs Realisasi Aktual
• Mengukur performa model dengan metrik seperti MAE, MAPE, RMSE
• Melakukan iterasi & retraining untuk meningkatkan akurasi model secara berkelanjutan
• Menerjemahkan hasil teknis menjadi insight yang bisa digunakan tim non-teknis

🧠 Peran Tambahan (Knowledge Transfer)
• Melatih tim internal dalam penggunaan dan monitoring model
• Menyusun SOP, dokumentasi, dan materi training
• Berperan sebagai technical advisor selama masa engagement

🧩 Kualifikasi yang Kami Cari
1. Pengalaman 2–3 tahun di AI/ML, Data Science, atau ML Engineering
2. Strong di Python + ML libraries (scikit-learn, XGBoost, TensorFlow/PyTorch, dll)
3. Pengalaman di regression modeling/estimation/forecasting
4. Memahami evaluasi model (cross-validation, train-test split, dll)
5. Mampu menjelaskan konsep kompleks ke stakeholder non-teknis
6. Pengalaman mentoring / training jadi nilai tambah
7. Memiliki portfolio/studi kasus yang relevan",https://id.jobstreet.com/id/job/91845414,,Ai Engineer,indonesia,"['python', 'r', 'pytorch', 'scikit-learn', 'tensorflow']",5,2026-05-02T00:35:45.912218
91844115,Middle IOT Engineer,PT Fan Integrasi Teknologi,,"Education min. D3/S1 Electrical Engineering, Informatics Engineering, Computer Engineering, or a related field.

Minimum of 3 years of experience in IoT system development.

Master microcontroller and Arduino.

Proficient in C/C++, Python, and Node.js programming.

Able to integrate data processing devices.

Experienced in troubleshooting IoT systems.

Understand IoT communication protocols (MQTT, HTTP, etc).",https://id.jobstreet.com/id/job/91844115,,Ai Engineer,indonesia,"['python', 'r', 'c++']",3,2026-05-02T00:35:50.109780
91843075,Engineering Staff,PT SHARP Electronics Indonesia,,"Job Description

New Product Development, execute technical trials for new models, evaluating the quality and performance of electrical components against design specification

Technical component management, maintain a comprehensive database of electrical parts, ensuring all components meet internal quality standards and regulatory compliance

Equipment modification, design and oversee the modification of existing machinery and production equipment to accommodate new product requirements or project developments.

Documentation & reporting, prepare technical reports on trial results, modification logs, and ISO/HSE compliance documentation.

Job Specification

Minimum Diploma Degree (D3) in Electrical Engineering from a reputable university.

At least 1 year of experience in a similar engineering role within a manufacturing environment.

Fluent in English (Oral & Written), proficiency in Japanese will be advantage

Familiarity with HSE (K3) standards and ISO quality management systems.

High loyalty, a ""willing to learn"" attitude, and the ability to perform effectively under high pressure environments.

Willing to be based in KIIC, Karawang",https://id.jobstreet.com/id/job/91843075,Rp 6.500.000 – Rp 7.500.000 per month,Ai Engineer,indonesia,['r'],1,2026-05-02T00:35:54.296222
91842535,Full Stack Developer (Team Lead),PT Oyika Energi Indonesia,,"We are seeking an experienced Full-Stack Developer (Team Lead) to lead, build and support scalable, production-ready systems for Oyika’s e-mobility platform. You will work across front-end and back-end while guiding the team in building reliable, real-time, and data-driven applications.

This role is hands-on and leadership-oriented, ideal for someone who enjoys building systems, mentoring engineers, and making technical decisions in a fast-moving startup environment.

Responsibilities

· Own the stability and reliability across frontend, backend, databases, APIs, and integrations, acting as the technical escalation point and leading incident management including root cause analysis and long-term prevention

· Define and enforce observability and deployment standards, working closely with DevOps to ensure production readiness, monitoring, and environment stability.

· Maintain and improve existing services, APIs, and codebases with minimal operational risk.

· Review and approve code fixes from team members before production deployment.

· Guide and mentor developers on production support practices and debugging techniques.

· Maintain technical documentation, support runbooks, and incident records.

· Work closely with product and business stakeholders to translate requirements into technical solutions.

·         Design and evolve system architecture supporting IoT devices, real-time operations, and high-availability services.

·         Define and enforce automated testing standards (unit, integration, and basic E2E) across backend and frontend systems.

Requirements

·         A Bachelor's degree in Computer Science, Information Technology, or a related field is required.

·         5+ years of professional software engineering experience with strong exposure to application development.

·         3+ years in a senior or lead role supporting live applications.

·         Strong hands-on experience with Node.js and NestJS in production environments.

·         Working knowledge of React and Next.js for investigating and fixing frontend issues.

·         Solid experience working with MongoDB, MySQL, and PostgreSQL.

·         Experience supporting real-time or event-driven systems (WebSocket and/or message queues).

·         Strong experience debugging distributed systems using logs, metrics, and traces, with hands-on experience in observability platforms such as Datadog, Grafana, or ELK stack.

·         Familiarity with CI/CD pipelines, cloud platforms such as AWS, and Docker-based deployments.

·         Demonstrated ownership mindset with structured and accountable incident handling

·         Proven experience productively using AI-assisted development tools (e.g. Copilot, Claude, Cursor) while critically evaluating generated code

·         Experience implementing automated testing strategies (unit, integration, basic E2E) across backend and frontend systems, and ensuring code correctness, security, and performance.

·         Clear communication skills for technical and non-technical stakeholders.",https://id.jobstreet.com/id/job/91842535,,Ai Engineer,indonesia,"['mongodb', 'scala', 'r', 'mysql', 'aws', 'sql', 'postgresql', 'react', 'docker']",9,2026-05-02T00:35:58.518342
91807364,Management Information System (MIS) for Collective Farming Program,PT Digital Utama Lestari,,"Build the Future of Agriculture Through Technology

Are you ready to transform agriculture with data, systems, and innovation?

We are seeking passionate and highly skilled professionals to join our Management Information System (MIS) for Collective Farming Program — a forward-thinking initiative designed to modernize and optimize large-scale, collaborative agricultural operations.

This program focuses on developing intelligent, data-driven systems that empower farmers, improve productivity, and ensure sustainable agricultural practices through technology integration.

Who We’re Looking For:
We invite candidates with Master’s (S2) or Doctoral (S3) degrees in relevant fields, including but not limited to:

Information Systems / Management Information Systems

Computer Science / Software Engineering

Data Science / Artificial Intelligence

Agricultural Technology / Agribusiness

Industrial Engineering

Geographic Information Systems (GIS)

or other related disciplines

What You’ll Do:

Design and implement MIS solutions tailored for collective farming ecosystems

Analyze agricultural data to support strategic decision-making

Integrate digital tools for farm monitoring, logistics, and resource management

Collaborate with multidisciplinary teams to drive innovation in agri-tech

Work Arrangement:

Part-time position with flexible working hours

Remote / Work From Home (WFH) opportunity, enabling you to contribute from anywhere

Why Join Us?
Be part of a mission-driven program that combines technology, sustainability, and community impact. Your expertise will directly contribute to enhancing food security, empowering farmers, and shaping the future of agriculture.",https://id.jobstreet.com/id/job/91807364,,Ai Engineer,indonesia,"['git', 'r']",2,2026-05-02T00:36:02.714748
91840251,Data Engineer,PT Enseval Putera Megatrading Tbk,,"Responsibilities:

Design, develop, and maintain scalable data pipelines.

Build and optimize data models for analytics and business intelligence.

Collaborate with data scientists, analysts, and engineers to support data needs.

Ensure data quality, integrity, and security across platforms.

Monitor and troubleshoot data workflow performance issues.

Requirements:

Bachelor's degree in Informatics Engineering, Information System

Strong knowledge in SQL and Relational Database Management System (RDBMS) such as Oracle, SQL Server, and PostgreSQL.

Strong knowledge in Python

Understanding concept of data modeling, data warehousing, and ETL.

Experience in workflow orchestrator tools like Apache Airflow or Prefect.

Working knowledge in Machine Learning is a plus.",https://id.jobstreet.com/id/job/91840251,Rp 9.000.000 – Rp 10.000.000 per month,Ai Engineer,indonesia,"['python', 'airflow', 'scala', 'r', 'sql', 'postgresql']",6,2026-05-02T00:36:06.988168
91847712,Programmable Logic Controller (PLC) Automation Engineer,(IDN) PT Ecolab International Indonesia,,"Core Job Responsibilities

PLC/SCADA Programming: Develop, modify, and troubleshoot PLC programs (Tia Portal, Step7, Siemens) and HMI/SCADA screens for industrial automation.

Field Instrument & IMCC Management: Maintain field instruments (flow meters, pressure/temperature transmitters, analyzers) and manage Intelligent Motor Control Centers (IMCCs), VFD drives, and Profibus/Profinet encoders. Hand on experience in maintaining high voltage & low voltage switch gears as per local rules & regulations.

Detail Engineering & Documentation: Create and review P&IDs, instrument datasheets, I/O lists, control narratives, loop drawings, and hook-up drawings.

Commissioning & Troubleshooting: Lead site activities, including commissioning, Site Acceptance Testing (SAT), and diagnosing complex instrument/logic malfunctions to minimize downtime.

Maintenance: Manage spare, create yearly maintenance budget & plan, maintain regular PM follow TPM standards. 

Technical Vendor & Customer Support: Lead technical interactions with end users, vendors, and internal proposal teams to freeze specifications and provide technical expertise to site teams. 

Required Technical Skills

Siemens Systems Expertise: Deep knowledge of SIMATIC S7 PLC, WinCC SCADA, and IMCC communication protocols.

Field Instrument Knowledge: Hands-on experience with field instruments (calibrations, configurations) and smart instruments with communication protocols (Profibus/Profinet).

Electrical Design: Hand on experience in maintaining high voltage & low voltage switch gears as per local rules & regulations.

Safety Standards: Thorough familiarity with industry safety procedures and hazardous area certifications. 

Education and Experience Requirements

Qualification: Bachelor's degree in Instrumentation, Electrical, or Electronics Engineering from a reputable university.

Experience: 5+ years of relevant experience in engineering or maintenance, with a minimum of 3-4 years specialized in I&C (Instrumentation & Control) and Siemens PLC systems.

Industry Preference: Experience in heavy industries such as Chemical, Specialty Chemical, FMCG, oil & Gas, Pharmaceutical industry.

Soft Skills: Strong teamwork, troubleshooting, documentation, and intercultural competence for working with regional teams. 

Key Focus Areas for 5+ Year Experience

Proactive Maintenance: Developing preventative maintenance routines and strategies for plant instruments to improve uptime.

Project Execution: Managing technical obligations and deliverables on time, including documentation, purchasing specifications, and vendor evaluation.",https://id.jobstreet.com/id/job/91847712,,Ai Engineer,indonesia,['r'],1,2026-05-02T00:36:11.155039
91834467,Electronics Engineer,PT E-T-A Indonesia,,"We are seeking a talented and dedicated Electronics Engineer to join our product development team. You will be responsible for designing, developing, and testing electrical components in our new products. This role is crucial in creating innovative and high-quality products that meet our customers' needs.

· Diploma or bachelor’s degree in Electronics Engineering/ Mechatronics Engineering.

· Fresh graduates are welcome to apply.

· Able to convert customers electrical / electronic requirements into system or solution. 

· Understanding electrical wiring diagram or single-line diagram would be a plus.

· Hands on experience in

o   electronics schematic design and PCB layout design with CAE software (e.g. Eagle, KiCAD, EasyEDA, Pulsonix, etc.), as well as deep knowledge of electronics components.

o   EMC

o   Testing & validation of Electronic Products

o   microcontroller programming with C or C++ language (e.g. Arduino, STM32, ESP32, AVR, Microchip, etc.).

o   accessing microcontroller peripherals (e.g. Digital I/O, ADC, Timer, Counter, Watchdog, UART, CAN, etc.).

o   Power Electronics design and knowledge would be an advantage.

o   software versioning system (e.g. Git, SVN, etc,) would be an advantage.

o   Embedded Design, Automotive Product Design, Functional Safety & Cyber Security, Product Development according to ISO 16750 would be an advantage.

· Proficiency in English, both written and spoken.

· Entrepreneurial personality with systematic and self-driven work style within team.

· Dynamic, creative, full initiative, and hard-working person with excellent communication skill.",https://id.jobstreet.com/id/job/91834467,,Ai Engineer,indonesia,"['git', 'r', 'c++']",3,2026-05-02T00:36:15.296513
