id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91815900,SEO Lead,PT Holink Solusi Digital,,"RESPONSIBILITIES

Take full ownership of Holink’s SEO from 0 → 1 (foundation to growth)

Identify and fix technical SEO issues (indexing, crawling, sitemap, site structure, page speed, etc.)

Build and implement SEO architecture across main domain and subdomains

Execute on-page SEO improvements (meta, internal linking, structure, content optimization)

Work closely with developers to ensure SEO is properly implemented (not just recommended)

Plan and execute content strategy based on search intent and keyword opportunities

Monitor performance (traffic, rankings, indexing) and continuously optimize

Conduct competitor analysis and identify quick-win opportunities

Build scalable backlink strategies (not spammy, but sustainable)

Handle international SEO (multi-language / multi-region) as we scale globally

REQUIREMENTS (STRICT & TARGETED)

Proven experience building SEO from scratch (new website / low authority site)

Strong hands-on experience in technical SEO (not just theory)

Experience fixing real issues such as:

indexing problems

sitemap errors

crawl issues

site structure problems

Able to prioritize SEO tasks based on impact vs effort

Comfortable working in a fast-moving startup environment with minimal structure

Experience working directly with developers to implement SEO changes

Clear track record of measurable SEO impact (traffic / ranking / leads)

Familiar with tools like: Ahrefs, SEMrush, Screaming Frog, GA4, Search Console

PLUS POINTS (STRONG ADVANTAGE)

Experience in SaaS / product-led SEO

Experience with international SEO (multi-language)

Understanding of conversion optimization (not just traffic)

WORK STYLE

High ownership role (you own SEO end-to-end)

Execution-focused (not just planning)

Comfortable working beyond standard hours when needed

Direct impact on company growth",https://id.jobstreet.com/id/job/91815900,Rp 25.000.000 – Rp 30.000.000 per month,Web Developer,indonesia,"['scala', 'r']",2,2026-04-29T21:58:14.716737
91815155,Python Developer - Django (Experienced),PT Hashmicro Solusi Indonesia,,"Responsibilities:

Manage and mentor a team of Python software engineers, promoting best practices in Develop, test, and deploy full-stack web applications using Django.

Drive the team to meet project deadlines and deliver robust, scalable solutions.

Lead the design, development, and maintenance of Python-based SaaS applications using Django.

Architect, implement, and maintain clean and scalable codebases using clean architecture principles and modern design patterns.

Manage and optimize databases, data pipelines and workflows for data-intensive applications.

Collaborate with Product Management and other stakeholders to translate business requirements into technical solutions.

Contribute to and review technical designs, ensuring alignment with business goals and technical best practices.

Write, review, and optimize code to ensure performance, reliability, and maintainability.

Actively contribute to complex problem-solving and support developers in troubleshooting.


Requirements:

5+ years of hands-on Python development experience, with at least 2 years in a leadership role.

Advanced knowledge of the Django framework and its ecosystem.

Experience decomposing monolithic applications into modular, scalable microservices

Deep understanding of REST concepts with at least 3 years working directly in REST APIs

Proficiency with PostgreSQL

Strong problem-solving skills and attention to detail.

Excellent communication skills and the ability to work in a team-oriented environment.",https://id.jobstreet.com/id/job/91815155,,Web Developer,indonesia,"['django', 'scala', 'r', 'sql', 'postgresql', 'python']",6,2026-04-29T21:58:18.971957
91814938,Associate Site Realibility Engineer,PT DES Teknologi Informasi,,"Kualifikasi :


Pendidikan minimal D3 / S1 Teknik Informatika/Sistem Informasi/Sistem Komputer ( atau jurusan komputer lainnya )

Mempunyai kemampuan dalam membangun virtualisasi dan cloud server

Mempunyai kemampuan proses instalasi layanan Cloud Server dan Hosting

Mempunyai kemampuan dalam implementasi Kubernetes, dan container lebih diutamakan.

Memiliki pengetahuan dan implementasi control panel hosting dan SSL

Mempunyai kemampuan dalam mengoperasikan Sistem Operasi Linux atau Windows Server

Memiliki pengetahuan dalam Domain Provisioning Process

Memiliki kemampuan dalam bahasa inggris minimal Pasif

Memiliki analisa yang baik dalam melakukan problem solving

Rajin, jujur dan dapat dipercaya

Mempunyai kemampuan untuk bekerja sendiri atau team.

Bersedia meningkatkan dan mengembangkan kemampuan dengan mempelajari hal baru.

Mempunyai kemampuan dalam mengoperasikan Sistem Operasi Linux atau Windows Server

Memiliki pengetahuan dan kemampuan dalam proses membangun cloud server.

Memiliki pengetahuan dalam Domain Provisioning Process",https://id.jobstreet.com/id/job/91814938,Rp 3.700.000 – Rp 3.700.001 per month,Web Developer,indonesia,"['linux', 'r', 'kubernetes']",3,2026-04-29T21:58:23.208772
91810237,Software Architect,Kraanwerks Pte. Ltd.,,"About the Role

Kraanwerks Pte. Ltd. is seeking an experienced Software Architect / Technical Lead to join our team in Batam, Riau Islands. This role is responsible for defining and owning the overall system architecture across the organization.

You will act as the key decision-maker in architectural design, ensuring all systems are scalable, secure, and future-ready for integration with various business platforms.

Key Responsibilities:

Define and design overall system architecture (web and mobile applications)

Design scalable, reliable, and efficient backend architecture

Define database structure and data management strategies

Design APIs and integration strategies across systems

Establish user permission structures and access control mechanisms

Plan IoT integration and define IoT data storage architecture

Define document management structure

Ensure system readiness for future integration with ERP, HR, accounting, and inventory systems

Determine cloud deployment models and infrastructure

Collaborate with cross-functional teams to translate business requirements into technical solutions

Provide technical leadership, including reviewing system design and development outputs

Requirements:

Minimum 8 years of experience as a Software Architect, Technical Lead, or similar senior technical role

Proven experience in designing enterprise-grade, large-scale systems

Strong expertise in cloud architecture and deployment

Solid experience in database design and data architecture

Hands-on experience in API design and system integration

Strong understanding of scalable backend systems

Basic knowledge of cybersecurity principles

Experience or exposure to IoT integration is a plus

Familiarity with mobile-first workflows, especially for field technician operations

Strong analytical thinking, problem-solving, and decision-making skills

Excellent communication and ability to lead technical direction",https://id.jobstreet.com/id/job/91810237,,Web Developer,indonesia,"['scala', 'r']",2,2026-04-29T21:58:27.450245
91814340,Backend Developer (Golang),PT Ako Media Asia,,"Job Requirements

Bachelor’s degree in Computer Science or related field.

Min.3 years of experience in Java development (Spring, Spring Boot, Hibernate).

Strong knowledge of databases (SQL, NoSQL).

Experience with RESTful APIs and microservices.

Familiarity with version control (Git) and cloud platforms (AWS, Azure).

Good problem-solving skills and ability to work in a team.

Must have working experience with Java (knowledge of another language like Go, rust, or C++ would be a big plus).

Knowledge of GraalVM.

Deep knowledge of Postgre, Mysql, and SQL Server.

Familiar with Containerization (docker).

Deep knowledge of TCP, web socket, and messaging (Rabbitmq, Kafka, nats).

Familiar with Google protocol buffer.

Familiar with TDD.

Deep knowledge of keycloak or other RBAC management integration, multi-threading applications, or using frameworks like Vertx and Hibernate.




Job Description

•    To cooperate with other stakeholders to design, develop, test, release and improve services
•    Maintain development standards, practices & principles
•    Build scalable and maintainable software
•    Analytical approach on what and how
•    Provides solution architect from business requirements.
•    Demonstrated technical documentation capability.",https://id.jobstreet.com/id/job/91814340,,Web Developer,indonesia,"['azure', 'c++', 'java', 'scala', 'rust', 'r', 'spring boot', 'sql', 'kafka', 'docker', 'git', 'aws', 'mysql']",13,2026-04-29T21:58:31.671859
91814704,Application Developer,PT IBM Indonesia,,"Introduction

A career in IBM Consulting is built on long-term client relationships and close collaboration worldwide. You’ll work with leading companies across industries, helping them shape their hybrid cloud and AI journeys. With support from our strategic partners, robust IBM technology, and Red Hat, you’ll have the tools to drive meaningful change and accelerate client impact. At IBM Consulting, curiosity fuels success. You’ll be encouraged to challenge the norm, explore new ideas, and create innovative solutions that deliver real results. Our culture of growth and empathy focuses on your long-term career development while valuing your unique skills and experiences.

ABOUT BUSINESS UNIT


IBM Consulting is IBM’s consulting and global professional services business, with market leading capabilities in business and technology transformation. With deep expertise in many industries, we offer strategy, experience, technology, and operations services to many of the most innovative and valuable companies in the world. Our people are focused on accelerating our clients’ businesses through the power of collaboration. We believe in the power of technology responsibly used to help people, partners and the planet.

YOUR LIFE @ IBM


In a world where technology never stands still, we understand that, dedication to our clients success, innovation that matters, and trust and personal responsibility in all our relationships, lives in what we do as IBMers as we strive to be the catalyst that makes the world work better.

Being an IBMer means you’ll be able to learn and develop yourself and your career, you’ll be encouraged to be courageous and experiment everyday, all whilst having continuous trust and support in an environment where everyone can thrive whatever their personal or professional background.

Our IBMers are growth minded, always staying curious, open to feedback and learning new information and skills to constantly transform themselves and our company. They are trusted to provide on-going feedback to help other IBMers grow, as well as collaborate with colleagues keeping in mind a team focused approach to include different perspectives to drive exceptional outcomes for our customers. The courage our IBMers have to make critical decisions everyday is essential to IBM becoming the catalyst for progress, always embracing challenges with resources they have to hand, a can-do attitude and always striving for an outcome focused approach within everything that they do.

Are you ready to be an IBMer?

ABOUT IBM


IBM’s greatest invention is the IBMer. We believe that through the application of intelligence, reason and science, we can improve business, society and the human condition, bringing the power of an open hybrid cloud and AI strategy to life for our clients and partners around the world.

Restlessly reinventing since 1911, we are not only one of the largest corporate organizations in the world, we’re also one of the biggest technology and consulting employers, with many of the Fortune 500 companies relying on the IBM Cloud to run their business. 

At IBM, we pride ourselves on being an early adopter of artificial intelligence, quantum computing and blockchain. Now it’s time for you to join us on our journey to being a responsible technology innovator and a force for good in the world.

OTHER RELEVANT JOB DETAILS


For additional information about location requirements, please discuss with the recruiter following submission of your application.",https://id.jobstreet.com/id/job/91814704,,Web Developer,indonesia,"['rust', 'ios', 'r']",3,2026-04-29T21:58:35.983363
91814079,CNC PROGRAMMER,PT EVERTECH INTERNATIONAL GROUP,,"Memiliki pemahaman mendalam mengenai operasi mesin dan proses produksi, serta mampu menilai dan menangani situasi yang terjadi selama proses pemesinan.

Menguasai setidaknya salah satu perangkat lunak CAD/CAM, seperti PowerMill.

Memiliki kemampuan visualisasi tiga dimensi yang baik, sehingga dapat memahami gambar kerja dengan tepat dan menyusun urutan pemesinan.

Mampu melakukan troubleshooting serta menyelesaikan masalah yang muncul selama proses pemesinan.

Pekerjaan menuntut tingkat ketelitian tinggi, sehingga diperlukan sikap hati-hati, cermat, serta kemampuan untuk menyesuaikan diri dengan pengaturan kerja.",https://id.jobstreet.com/id/job/91814079,,Web Developer,indonesia,['r'],1,2026-04-29T21:58:40.172051
91813545,SAP ABAP Developer - Global IT Consulting Company,PT Adecco Personnel Indonesia,,"About the Role
We are partnering with a leading Global IT consulting firm that helps organizations worldwide drive digital transformation, optimize operations, and deliver innovative technology solutions. With strong expertise in cloud, data, and AI, our client enables businesses across industries to build scalable, future-ready systems.

Responsibilities may include:

Planning, monitoring, and managing all development tasks.

Create development standards and checklists.

Supervising, problem solving, and coaching of team members.

Liaise with functional team and business users to define development requirements.

Developing technical specifications for SAP custom report / interface / enhancement / form to solve complex business problems based on end-user functional requirements.

Developing programs that conform to the functional and technical specification.

Planning and executing unit testing, string testing, and integration testing.

Support all levels of testing, problem solving and bug fixing.

Performance tuning of programs.

Qualifications:

Experience:

Analyst to Senior Analyst: 2–5 years of relevant experience in SAP ABAP and SAP ABAP/4 programming using SAP development tools.

Specialist / Team Lead / Consultant: 6+ years of relevant experience in SAP ABAP and SAP ABAP/4 programming, with demonstrated leadership or specialized expertise.

Managerial Roles: Minimum of 2 years of relevant experience in a managerial capacity, overseeing SAP-related projects or teams.

Technical Skills:

Proficient in Dialog Programming, Smart Forms, SAP Script, User Exits, ABAP/4 Dictionary, Business Add-Ins (BADI), and Data Interfaces (RFC, ALE, ALV, IDOCS, BDC, BAPI, BDT, LSMW).

Skilled in SQL Trace, SAP Runtime Analysis, Debugging, ABAP Query, and InfoSets.

Experience in report development, performance tuning, and supporting both customized and standard SAP programming.

Functional Knowledge:

Solid understanding and ability to customize SAP business processes in Sales, Service, and Financials.

Strong knowledge of SAP Tables, Fields, Domains, and Search Help creation.

Database Expertise:

Familiarity with Oracle 9i / 10g.

Education:

Bachelor’s degree in Information Technology, Computer Science, Information Systems, or a related field.

Communication:

Excellent English communication skills.",https://id.jobstreet.com/id/job/91813545,Rp 30.000.000 – Rp 35.000.000 per month,Web Developer,indonesia,"['scala', 'r', 'sql', 'git']",4,2026-04-29T21:58:44.369842
91813053,Tech Lead,PT Walden Global Services,,"Min. Pengalaman 3 Tahun

S1 Teknik Informatika, Manajemen Informatika / Sistem Informasi

Memiliki pengalaman di bidang financial technology

Terbiasa menggunakan metode Agile Application Development

Memiliki keahlian dalam bahasa pemrograman seperti Java, Flutter, dan Vue,Js

Memiliki pengalaman implementasi mobile application terkait financial technology

Memiliki pengalaman konfigurasi play store (android) dan apple store (iOS) untuk melakukan test flight dan release application

Memiliki pengalaman menggunakan message broker dan application log monitoring

Memiliki pengalaman menggunakan database seperti Postgresql, SQL Server, MySql

Memiliki kemampuan optimization query dan design database

Mampu menggunakan teknologi repositori Github/GitLab

Mampu memahami implementasi CI/CD seperti ArgoCD, Github Action, Jenkins

Memiliki kemampuan menyusun technical documentation

Akan menjadi nilai tambah jika memiliki pengalaman development microservices dan implementasi OpenShift",https://id.jobstreet.com/id/job/91813053,Rp 12.000.000 – Rp 15.000.000 per month,Web Developer,indonesia,"['flutter', 'android', 'java', 'ios', 'r', 'vue', 'sql', 'postgresql', 'git', 'mysql', 'agile']",11,2026-04-29T21:58:48.557795
91815036,Android Developer,PT Indocyber Global Teknologi,,"Placement: At one of our clients from Banking (South Jakarta)

Working System: Full WFO

Employment Contract: PKWT/Contract (12 months)

*Only shortlisted candidate will be contacted


Job Description:

Design & Build: Develop advanced applications for the Android platform using Kotlin and Jetpack Compose.
Collaborate: Work with cross-functional teams (Product, UI/UX, Backend) to define, design, and ship new features.
Optimize: Improve application performance and responsiveness
Maintain: Identify and fix bugs; maintain code quality through robust testing and code reviews.
Deploy: Manage the full app lifecycle, including CI/CD automation and Google Play Store submissions.

Job Requirement:


Minimum 3 years of experience in Android application development.
Must have a Bachelor’s degree (S1) in Computer Science, Software Engineering, or related field.
Strong proficiency in Kotlin and familiarity with Java & XML
Solid understanding of Dependecy Injection (Coin, Dagger, Hilt) and Jetpack Compose
Knowledge of MVP Architecture, or other design patterns.
Experience with RESTful APIs, JSON, and integrating backend services.
Proficient in using Android Studio, Gradle, and Git version control.
Experience with Firebase, Google Play Services, and third-party libraries",https://id.jobstreet.com/id/job/91815036,,Web Developer,indonesia,"['kotlin', 'android', 'java', 'r', 'git']",5,2026-04-29T21:58:52.804616
