id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
92094775,System Developer (Programmer),,,"Requirements:

Bachelor’s degree in Computer Science, Information Technology, or related engineering fields.

Minimum 2 years of experience as a System Developer/Software Engineer, with demonstrated experience in developing and maintaining business applications and reporting solutions.

Strong analytical thinking, problem-solving skills, and ability to break down complex requirements into technical solutions.

Proficient in:

C#, ASP.Net (Core/Framework), Javascript.

Relational Databases (RDBMS): SQL Server, MySQL, or PostgreSQL.

Version control tools such as Git.

API development & integration (both RESTful and SOAP).

Experience with reporting and dashboard development tools is required, with AWS QuickSight experience considered a strong advantage.

Knowledge of data modeling, query optimization, and performance tuning techniques for reporting purposes.

Experience in mobile application development using frameworks like Flutter or React Native is an advantage.

Previous involvement in developing, customizing, or maintaining ERP systems is highly preferred.

Familiarity with agile development methodologies, particularly Scrum (Scrum certification is a plus).

Hardworking, fast learner, proactive, and capable of working independently or in a team.

Ready to join immediately.

Fresh graduates are welcome to apply




Job Description:

Develop, test, and deploy custom business applications based on user requirements and internal development standards.

Provide technical support and troubleshooting assistance for existing applications and reports.

Conduct bug fixes and carries out features/modules enhancements when required.",https://id.jobstreet.com/id/job/92094775,,Full Stack Developer,indonesia,"['r', 'javascript', 'mysql', 'scrum', 'git', 'aws', 'c#', 'sql', 'java', 'flutter', 'postgresql', 'react', 'agile']",13,2026-05-13T18:45:42.421399
92093326,Full Stack AI Developer,PT Kharsima Alpha Teknologi,,"Tentang Peran Ini

Kami mencari seorang Full Stack AI Engineer yang dapat menjembatani kesenjangan antara Kecerdasan Buatan (AI) tingkat lanjut dan pengembangan aplikasi skala produksi. Dalam peran ini, Anda tidak hanya akan membangun logika AI backend dan mengintegrasikan Large Language Models (LLM); Anda juga akan merancang dan mengembangkan antarmuka pengguna (UI) serta arsitektur sistem secara keseluruhan yang membuat alat-alat ini dapat diakses oleh tim Operasional, Produk, dan Engineering kami. Anda akan memegang kendali penuh atas seluruh siklus hidup produk AI internal, mulai dari penyimpanan vektor basis data (vector database) hingga frontend.

Tanggung Jawab Utama

Pengembangan Aplikasi AI End-to-End

Merancang, membangun, dan memelihara alat dan dasbor berkemampuan AI secara full-stack, memastikan integrasi yang mulus antara frontend (UI) dan layanan AI backend.

Mengembangkan antarmuka pengguna yang intuitif (menggunakan React) yang memungkinkan pemangku kepentingan non-teknis untuk berinteraksi dengan agen AI yang kompleks, chatbot, dan alur kerja otomatisasi.

Integrasi AI & Backend Development

Mengintegrasikan model bahasa (LLM) dan komponen AI ke dalam platform yang ada menggunakan Python dan kerangka kerja modern (misalnya, LangChain, LangGraph).

Merancang arsitektur dan mengembangkan RESTful API yang tangguh untuk menyajikan output model AI ke aplikasi klien dengan latensi yang rendah.

Mengimplementasikan pipeline RAG (Retrieval-Augmented Generation), mengelola basis data tradisional (SQL) maupun basis data vektor untuk pengambilan konteks yang efisien.

Kolaborasi & Strategi

Bekerja sama erat dengan pemangku kepentingan lintas fungsi (Operasional, Produk) untuk menerjemahkan tantangan/masalah bisnis menjadi solusi AI full-stack.

Infrastruktur & Kualitas

Membantu dalam persiapan data, pengujian model, dan penerapan (deployment) aplikasi dalam kontainer (Docker/Kubernetes) ke lingkungan cloud.

Berpartisipasi dalam tinjauan desain (design review) dan tinjauan kode (code review) untuk tumpukan frontend dan backend guna memastikan standar rekayasa yang tinggi.

Memantau performa model dan aplikasi yang telah diterapkan, menyiapkan observabilitas baik untuk kesehatan sistem (latensi/kesalahan) maupun kualitas model (halusinasi/akurasi).

Persyaratan

Pendidikan & Pengalaman

Gelar Sarjana di bidang Ilmu Komputer, Teknik, atau bidang terkait.

Pengalaman pengembangan perangkat lunak selama 2+ tahun dengan fokus pada pengembangan web full-stack.

Keterampilan Teknis (Full Stack)

Frontend: Kemahiran dalam kerangka kerja JavaScript/TypeScript modern (React) dan prosesor CSS (Tailwind, SASS) untuk membangun antarmuka yang responsif.

Backend: Kemahiran tingkat ahli dalam Python (untuk beban kerja AI) dan pengalaman dengan kerangka kerja web (FastAPI, Django, atau Flask). Berpengalaman dengan Node.js.

Basis Data: Pemahaman yang kuat tentang SQL (PostgreSQL, MySQL) dan pengalaman dengan Basis Data Vektor (Pinecone, Milvus, atau pgvector).

Kemampuan AI & ML

Terbiasa dengan alat dan kerangka kerja AI modern (misalnya, LangChain, LangGraph, Transformers, OpenAI API).

Pemahaman yang kuat tentang konsep-konsep utama AI: Prompt Engineering, Embeddings, pipeline RAG, dan sistem Multi-Agent.

Dasar-dasar Ilmu Komputer yang kuat: algoritma, struktur data, dan desain sistem.

DevOps & Penerapan (Deployment)

Memiliki pengalaman dalam menerapkan sistem AI dan aplikasi web di tahap produksi (misalnya, pipeline CI/CD, kontainer Docker, AWS/GCP/Azure).

Pengalaman mengelola state dan tugas asinkron (misalnya, Redis, Celery, RabbitMQ) untuk menangani pekerjaan inferensi AI yang berjalan lama.

Soft Skill

Pola pikir analitis dan pemecahan masalah yang kuat dengan kemauan untuk bereksperimen dan melakukan iterasi.

Semangat untuk membangun sistem AI yang praktis dan andal yang mampu memecahkan masalah internal nyata dalam skala besar.

Mengapa Bergabung dengan Kami?

Peluang untuk bekerja di perusahaan yang dinamis dan berkembang dengan komitmen terhadap inovasi.

Lingkungan kerja kolaboratif dengan fokus pada pembelajaran dan pengembangan berkelanjutan.",https://id.jobstreet.com/id/job/92093326,Rp 7.000.000 – Rp 9.000.000 per month,Full Stack Developer,indonesia,"['r', 'python', 'django', 'javascript', 'fastapi', 'mysql', 'docker', 'gcp', 'kubernetes', 'aws', 'flask', 'sql', 'java', 'typescript', 'redis', 'azure', 'postgresql', 'react']",18,2026-05-13T18:45:46.966089
92093184,Wakil Kepala IT (FULL STACK DEVELOPER),PT Indokharisma Pangan Semesta,,"Kualifikasi:

Pengalaman kerja minimal 2 tahun.

Menguasai framework back-end PHP, Laravel, Node.JS, JavaScript, Python.

Menguasai framework front-end seperti React, Vue.js, atau Angular.

Menguasai Database (MySQL, PostgreSQL, MongoDB) & Pernah Devlop Mobile Apps (Anroid & IOS).

Menguasai REST API dan JSON.

Menguasai konsep ERP (modul Keuangan, Inventaris, SDM, Produksi, dll).

Menguasai aplikasi terintegrasi dengan layanan pihak ketiga (gateway pembayaran, sistem eksternal, dll.).

Familiar dengan Repositori GIT.

Familiar dengan Docker dan pipeline CI/CD.

Pengetahuan Infrastruktur Jaringan, Cloud Computing.

Terampil dalam pelacakan kesalahan, debugging, dan pemecahan masalah.

Pengetahuan tentang Flutter merupakan nilai tambah.

Pemahaman tentang arsitektur layanan mikro dan sistem terdistribusi merupakan nilai.

Penempatan di daerah Jakarta Utara.",https://id.jobstreet.com/id/job/92093184,,Full Stack Developer,indonesia,"['r', 'python', 'javascript', 'angular', 'ios', 'mysql', 'docker', 'vue', 'php', 'git', 'sql', 'java', 'mongodb', 'flutter', 'postgresql', 'react']",16,2026-05-13T18:45:51.328050
92092788,Staff Backend Engineer,Ride Blitz,,"Nice to Have

Prior experience at a delivery, ride-hailing, or on-demand company; familiarity with dispatch, batching, vehicle routing, or marketplace assignment problems.

Experience with capacity planning and cost-aware engineering (cost per request, infrastructure spend per order).

Background in formal methods, simulation, or property-based testing for distributed correctness — particularly relevant for batching invariants.

Fit to work regular work hours, including occasional release-window evenings.

What This Role Is Not

This is not a senior-engineer-with-staff-on-the-business-card role. We will hire a strong senior at a different level if the staff bar is not met, we are not adjusting the bar to fit the candidate.

This is not a heads-down feature-shipping role. Half your time should be design, observability, and team uplift.

This is not a CTO-track role at the moment. The CTO seat is filled. This is a peer to the CTO on backend technical depth.",https://id.jobstreet.com/id/job/92092788,,Full Stack Developer,indonesia,['r'],1,2026-05-13T18:45:55.859364
92092188,PROGRAMMER WEB,,,"Peluang Pekerjaan
Perusahaan PMA Jepang yang bergerak di manufaktur terkemuka di Indonesia, sedang mencari seorang Programmer Web yang berbakat dan berdedikasi untuk bergabung dengan tim kami. Sebagai Programmer Web, Anda akan memainkan peran kunci dalam mengembangkan dan memelihara solusi web yang inovatif dan fungsional untuk mendukung kegiatan bisnis kami.

Tanggung Jawab Utama

Merancang, mengembangkan, dan mengimplementasikan aplikasi web yang fungsional dan user-friendly

Menganalisis kebutuhan bisnis dan menterjemahkannya ke dalam spesifikasi teknis

Mengembangkan dan memperbarui situs web perusahaan untuk meningkatkan pengalaman pengguna

Mengintegrasikan aplikasi web dengan sistem dan database back-end

Melakukan pengujian, debugging, dan pemecahan masalah untuk menjamin kualitas aplikasi

Memperbarui dan memelihara kode sumber serta dokumentasi teknis

Berkolaborasi dengan tim desain, produksi, dan manajemen untuk menghasilkan solusi web yang optimal

Kualifikasi dan Pengalaman yang Dibutuhkan

Gelar Diploma atau sarjana dalam bidang Teknik Informatika, Sistem Informasi, atau disiplin ilmu terkait

Memiliki pengalaman minimal 1 tahun sebagai Programmer Web atau posisi serupa

Mahir dalam bahasa pemrograman web seperti PHP, JavaScript, dan Pyhton

Berpengalaman menggunakan My SQL

Memahami konsep pengembangan perangkat lunak, arsitektur aplikasi, dan metodologi Agile

Kemampuan analitis yang kuat dan kemampuan pemecahan masalah yang baik

Memiliki pemahaman yang baik tentang pengoptimalan kinerja dan keamanan web

Kemampuan bekerja dalam tim dan berkomunikasi yang efektif",https://id.jobstreet.com/id/job/92092188,Rp 6.000.000 – Rp 7.000.000 per month,Full Stack Developer,indonesia,"['r', 'javascript', 'php', 'sql', 'java', 'agile']",6,2026-05-13T18:46:00.240485
92054013,Android Developer,PT Cakrawala Putra Nusantara,,"Deskripsi Pekerjaan:

1. Mengembangkan aplikasi Android sesuai dengan kebutuhan pengguna dan bisnis.

2. Menambahkan serta mengembangkan fitur atau modul baru pada aplikasi yang sudah berjalan.

3. Melakukan analisis kebutuhan pengguna dan menyusun dokumentasi teknis maupun fungsional.

4. Melakukan pemeliharaan, perbaikan bug, dan peningkatan performa aplikasi.

5. Berkolaborasi dengan tim Backend, UI/UX, dan QC untuk memastikan aplikasi berjalan dengan baik.




Kualifikasi:

1. Pendidikan minimal D3/S1 Teknik Informatika, Sistem Informasi, atau jurusan terkait.

2. Terbuka untuk Fresh Graduate maupun kandidat dengan pengalaman minimal 1 tahun sebagai Android Developer.

3. Memiliki minat dan passion yang kuat dalam pengembangan aplikasi Android.

4. Mampu bekerja secara mandiri maupun dalam tim.

5. Memiliki semangat belajar tinggi dan menyukai tantangan baru.

6. Menguasai bahasa pemrograman Java dan/atau Kotlin.

7. Memahami konsep Object-Oriented Programming (OOP), Clean Code, serta penerapan arsitektur aplikasi yang baik.

8. Memahami penggunaan REST API dan integrasi dengan layanan backend.

9. Memahami prinsip desain antarmuka (UI) dan pengalaman pengguna (UX) pada Android.

10. Familiar dengan Android SDK, Android Studio, dan Git sebagai version control.

11. Memahami penggunaan library Android modern seperti Jetpack Components (ViewModel, LiveData, Navigation, Room) menjadi nilai tambah.

12. Memiliki pengalaman menggunakan arsitektur MVVM/MVP menjadi nilai tambah.

13. Memahami proses debugging, testing, dan optimasi performa aplikasi.




Nilai Tambah:

Memiliki aplikasi yang pernah dipublikasikan di Google Play.

Memahami penggunaan Firebase (Analytics, Crashlytics, Cloud Messaging).

Memiliki portfolio atau contoh proyek Android yang dapat ditunjukkan.",https://id.jobstreet.com/id/job/92054013,,Full Stack Developer,indonesia,"['r', 'android', 'kotlin', 'git', 'java']",5,2026-05-13T18:46:04.678045
92081522,Web Developer,TAV Digital Pro,,"Experience with Shopify platform

Basic knowledge of HTML, CSS, JavaScript, and Liquid

Understand Shopify themes and apps

Good problem-solving skills

Able to work independently and in a team",https://id.jobstreet.com/id/job/92081522,,Full Stack Developer,indonesia,"['r', 'javascript', 'java']",3,2026-05-13T18:46:09.228323
92091469,Staff Backend/Interface Development - R&D Jakarta,PT SUPRANUSA SINDATA,,"Requirements Backend/Interface Development:

Job Requirements :

1. Candidate must have at least a Bachelor's Degree in Engineering (Computer/Telecommunication), Computer Science/Information Technology or equivalent with min GPA 3.0.

2. At least 1 year experience in the related field is required for this position.

3. Required Skill(s) : VB.net, VB 6, Desktop Programming, SQL, Rest API, JSON, Python and Web Service.

4. If have knowledge about Progress OpenEdge 4GL will be advantage.

5. If have knowledge about integration concept between two system will be advantage.

6. Familiar with GitLab.

7. Creative, Innovative, and able to work in dynamic working environment.

8. Good knowledge in algorithm and software design concept.

9. Have strong Business Intelligent, Strong Logic and Analysis.

10. Motivated by learning current & new software technologies.

11. Create reusable, efficient, and performable codes.

12. Have a strong desire to learn and try out new ideas.

Job Responsibilities :

1. Create new program to fulfill company’s needs.

2. Maintain program troubleshooting (bugs fix).

3. Coordinate with another team such as Technical Support, Infra Team, etc.

4. Make technical documentation according to technical specification.

5. Develop integration apps front end and backend.

6. Develop backend, create new or maintain existing for front end needs.

7. Develop internal tools for internal needs.",https://id.jobstreet.com/id/job/92091469,Rp 5.000.000 – Rp 6.000.000 per month,Full Stack Developer,indonesia,"['r', 'python', 'git', 'sql']",4,2026-05-13T18:46:13.587971
92091515,Lead Technical Product Manager,Ride Blitz,,"Demonstrated ability to define and move metrics, not just track them. We will ask for specific examples where you identified a metric problem before leadership did, framed the root cause, and shipped the fix.

Strong technical fluency: comfort reading API docs, reasoning about webhooks/queues/dispatch logic, writing SQL for ad-hoc analysis, and joining a technical RCA conversation as a peer.

Track record of owning enterprise client and partner relationships at a technical level — including running QBRs, negotiating joint SLAs, and managing escalations.

Experience scaling team practices, not just executing them: you have introduced PRD templates, postmortem culture, or QA gates that outlived your tenure.

Strong written and verbal English. Bahasa Indonesia is strongly preferred.

Willingness to be on-call for major releases and Sev-1 incidents. Hard requirement that you can hold the room in a late-evening release call when something is on fire.

Nice to Have

Prior experience at a delivery, ride-hailing, or on-demand platform with first-hand exposure to dispatch, batching, geofencing, and driver-economics problems (Gojek, Grab, Lalamove, Borzo, Shopee Express, Lazada Logistics, Dunzo, Swiggy, Zomato, etc.).

Hands-on with Metabase / Looker / Mode for self-serve analytics. Bonus if you have actually built dashboards yourself.

Prior experience standing up a postmortem / incident-management process from scratch.

What This Role Is Not

This is not a release-management or scrum-master role. The release calendar is a small fraction of the work.

This is not an order-taker PM role. We do not want someone who waits for the leadership to write the to-do list.",https://id.jobstreet.com/id/job/92091515,,Full Stack Developer,indonesia,"['r', 'scala', 'scrum', 'sql', 'express']",5,2026-05-13T18:46:18.150098
92090496,Junior Project Developer (Footwear),,,"Job Description:

Project planning, assist in creating project plans throughout the commercialization process.

Facilitate communication among project stakeholders to ensure timely completion of tasks. Keep internal stakeholders informed about project progress, milestones, and any changes to the project plan.

Continuously learn and improve project management skills, stay updated with industry best practices and contribute to the overall growth of the project management function.

Engage with stakeholders to gather project requirements, obtain feedback, and manage expectations of project developer and senior project developer.

Order management for all incoming Development orders, to ensure the timely agreed delivery time for each tooling.

Assist the color confirmation process of the Project Developer.




Requirements:

University degree in Engineering, Manufacturing, or a related field.

Proficiency in English; knowledge of Chinese or Korean languages is a plus.

Proven experience of at least 3 to 5 years as a Project Developer or Project Manager, preferably within the sports industry or a manufacturing environment (automotive, oil and gas, food packaging, medical industry).

Basic understanding of injection molding processes, tooling, and plastic materials.

Excellent project management skills, including planning, organizing, and resource management.

PMP Certificate in Project Management (PMI) or similar project management certificate.

Full experience with project management tools and software (e.g., Microsoft Teams, Smartsheet) is a must.

Strong communication and interpersonal skills to collaborate with cross-functional teams and external stakeholders.

Quality-focused with a commitment to delivering high-quality products on time and within budget.

Computer literate is a must (Microsoft Office).",https://id.jobstreet.com/id/job/92090496,,Full Stack Developer,indonesia,['r'],1,2026-05-13T18:46:22.542344
