id,title,search_role,search_role_raw,job_level,company,location,location_raw,salary_display,salary_min,salary_max,salary_avg,extracted_skills,skills_count,job_url,job_description,search_location,scraped_at,salary
91853854,AI & Automation Engineer,ML Engineer,Ai Engineer,Junior,PT Sea Group,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,"['python', 'r', 'java', 'javascript']",4,https://id.jobstreet.com/id/job/91853854,"As part of the IT System & Automation team, you will support the development and enhancement of AI-driven automation solutions to improve IT service delivery and operations. This includes leveraging Generative AI (GenAI), low-code platforms, and system integrations to support IT Service Management (ITSM), monitoring, and incident management processes.

You will work closely with AI Product Managers and engineers to build, test, and improve AI bots, workflows, and automation solutions, while developing hands-on experience in AI, automation, and enterprise IT systems.

Support the design and implementation of AI-driven automation solutions, including bots and workflows
Assist in building and configuring workflows using low-code platforms (e.g., Power Automate, n8n)
Help integrate solutions with enterprise systems (e.g., ITSM IT infrastructure tools, APIs, knowledge bases)
Participate in prompt setup, testing, and refinement to improve AI responses
Conduct testing (functional, scenario-based) and support troubleshooting of issues
Monitor system performance and support continuous improvements based on feedback and usage
Collaborate with AI Product Managers and developers to deliver and enhance solutions
Contribute to documentation, templates, and reusable automation components
Identify opportunities to improve efficiency through automation and AI
Bachelor’s degree in Computer Science, Information Technology, or a related discipline (or equivalent practical experience)
Min 1 year of experience (internship or project experience acceptable) in software, automation, or IT-related roles
Good understanding of programming or scripting (e.g., Python, JavaScript, or similar)
Interest or exposure to Generative AI tools (e.g., ChatGPT, Claude) and prompt usage
Familiarity with APIs, integrations, or workflow concepts is a plus
Exposure to low-code platforms (e.g., Power Automate, n8n) or willingness to learn
Basic understanding of IT systems or ITSM concepts is an advantage
Strong willingness to learn, experiment, and work with new technologies",indonesia,2026-05-02 00:35:41.714453,Tidak Disebutkan
91845414,AI Officer (Part-Time/Project-Based),ML Engineer,Ai Engineer,Junior,PT Intinusa Teknik Sejahtera,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,"['python', 'r', 'pytorch', 'scikit-learn', 'tensorflow']",5,https://id.jobstreet.com/id/job/91845414,"PT. Intinusa Teknik Sejahtera saat ini sedang mencari AI Officer yang dapat membangun model estimasi berbasis AI yang akan langsung dibandingkan dengan keputusan manusia dan hasil aktual di lapangan.

📍 Lokasi: Hybrid/Remote (Flexible)
🕒 Tipe: Part-time/Project-based

🎯 Scope & Impact Role Ini
• Membangun dan mengembangkan model estimasi berbasis AI/ML untuk kebutuhan bisnis
• Mengolah data historis (cleaning, labeling, validation) sebagai fondasi model
• Melakukan benchmarking 3 arah: Model AI vs Estimasi Manusia vs Realisasi Aktual
• Mengukur performa model dengan metrik seperti MAE, MAPE, RMSE
• Melakukan iterasi & retraining untuk meningkatkan akurasi model secara berkelanjutan
• Menerjemahkan hasil teknis menjadi insight yang bisa digunakan tim non-teknis

🧠 Peran Tambahan (Knowledge Transfer)
• Melatih tim internal dalam penggunaan dan monitoring model
• Menyusun SOP, dokumentasi, dan materi training
• Berperan sebagai technical advisor selama masa engagement

🧩 Kualifikasi yang Kami Cari
1. Pengalaman 2–3 tahun di AI/ML, Data Science, atau ML Engineering
2. Strong di Python + ML libraries (scikit-learn, XGBoost, TensorFlow/PyTorch, dll)
3. Pengalaman di regression modeling/estimation/forecasting
4. Memahami evaluasi model (cross-validation, train-test split, dll)
5. Mampu menjelaskan konsep kompleks ke stakeholder non-teknis
6. Pengalaman mentoring / training jadi nilai tambah
7. Memiliki portfolio/studi kasus yang relevan",indonesia,2026-05-02 00:35:45.912218,Tidak Disebutkan
91843075,Engineering Staff,ML Engineer,Ai Engineer,Junior,PT SHARP Electronics Indonesia,Tidak Disebutkan,Tidak Disebutkan,Rp 6.500.000 - Rp 7.500.000,6500000.0,7500000.0,7000000.0,['r'],1,https://id.jobstreet.com/id/job/91843075,"Job Description

New Product Development, execute technical trials for new models, evaluating the quality and performance of electrical components against design specification

Technical component management, maintain a comprehensive database of electrical parts, ensuring all components meet internal quality standards and regulatory compliance

Equipment modification, design and oversee the modification of existing machinery and production equipment to accommodate new product requirements or project developments.

Documentation & reporting, prepare technical reports on trial results, modification logs, and ISO/HSE compliance documentation.

Job Specification

Minimum Diploma Degree (D3) in Electrical Engineering from a reputable university.

At least 1 year of experience in a similar engineering role within a manufacturing environment.

Fluent in English (Oral & Written), proficiency in Japanese will be advantage

Familiarity with HSE (K3) standards and ISO quality management systems.

High loyalty, a ""willing to learn"" attitude, and the ability to perform effectively under high pressure environments.

Willing to be based in KIIC, Karawang",indonesia,2026-05-02 00:35:54.296222,Rp 6.500.000 – Rp 7.500.000 per month
91840251,Data Engineer,ML Engineer,Ai Engineer,Tidak Disebutkan,PT Enseval Putera Megatrading Tbk,Tidak Disebutkan,Tidak Disebutkan,Rp 9.000.000 - Rp 10.000.000,9000000.0,10000000.0,9500000.0,"['python', 'airflow', 'scala', 'r', 'sql', 'postgresql']",6,https://id.jobstreet.com/id/job/91840251,"Responsibilities:

Design, develop, and maintain scalable data pipelines.

Build and optimize data models for analytics and business intelligence.

Collaborate with data scientists, analysts, and engineers to support data needs.

Ensure data quality, integrity, and security across platforms.

Monitor and troubleshoot data workflow performance issues.

Requirements:

Bachelor's degree in Informatics Engineering, Information System

Strong knowledge in SQL and Relational Database Management System (RDBMS) such as Oracle, SQL Server, and PostgreSQL.

Strong knowledge in Python

Understanding concept of data modeling, data warehousing, and ETL.

Experience in workflow orchestrator tools like Apache Airflow or Prefect.

Working knowledge in Machine Learning is a plus.",indonesia,2026-05-02 00:36:06.988168,Rp 9.000.000 – Rp 10.000.000 per month
91847712,Programmable Logic Controller (PLC) Automation Engineer,ML Engineer,Ai Engineer,Senior,(IDN) PT Ecolab International Indonesia,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,['r'],1,https://id.jobstreet.com/id/job/91847712,"Core Job Responsibilities

PLC/SCADA Programming: Develop, modify, and troubleshoot PLC programs (Tia Portal, Step7, Siemens) and HMI/SCADA screens for industrial automation.

Field Instrument & IMCC Management: Maintain field instruments (flow meters, pressure/temperature transmitters, analyzers) and manage Intelligent Motor Control Centers (IMCCs), VFD drives, and Profibus/Profinet encoders. Hand on experience in maintaining high voltage & low voltage switch gears as per local rules & regulations.

Detail Engineering & Documentation: Create and review P&IDs, instrument datasheets, I/O lists, control narratives, loop drawings, and hook-up drawings.

Commissioning & Troubleshooting: Lead site activities, including commissioning, Site Acceptance Testing (SAT), and diagnosing complex instrument/logic malfunctions to minimize downtime.

Maintenance: Manage spare, create yearly maintenance budget & plan, maintain regular PM follow TPM standards. 

Technical Vendor & Customer Support: Lead technical interactions with end users, vendors, and internal proposal teams to freeze specifications and provide technical expertise to site teams. 

Required Technical Skills

Siemens Systems Expertise: Deep knowledge of SIMATIC S7 PLC, WinCC SCADA, and IMCC communication protocols.

Field Instrument Knowledge: Hands-on experience with field instruments (calibrations, configurations) and smart instruments with communication protocols (Profibus/Profinet).

Electrical Design: Hand on experience in maintaining high voltage & low voltage switch gears as per local rules & regulations.

Safety Standards: Thorough familiarity with industry safety procedures and hazardous area certifications. 

Education and Experience Requirements

Qualification: Bachelor's degree in Instrumentation, Electrical, or Electronics Engineering from a reputable university.

Experience: 5+ years of relevant experience in engineering or maintenance, with a minimum of 3-4 years specialized in I&C (Instrumentation & Control) and Siemens PLC systems.

Industry Preference: Experience in heavy industries such as Chemical, Specialty Chemical, FMCG, oil & Gas, Pharmaceutical industry.

Soft Skills: Strong teamwork, troubleshooting, documentation, and intercultural competence for working with regional teams. 

Key Focus Areas for 5+ Year Experience

Proactive Maintenance: Developing preventative maintenance routines and strategies for plant instruments to improve uptime.

Project Execution: Managing technical obligations and deliverables on time, including documentation, purchasing specifications, and vendor evaluation.",indonesia,2026-05-02 00:36:11.155039,Tidak Disebutkan
91834467,Electronics Engineer,ML Engineer,Ai Engineer,Junior,PT E-T-A Indonesia,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,"['git', 'r', 'c++']",3,https://id.jobstreet.com/id/job/91834467,"We are seeking a talented and dedicated Electronics Engineer to join our product development team. You will be responsible for designing, developing, and testing electrical components in our new products. This role is crucial in creating innovative and high-quality products that meet our customers' needs.

· Diploma or bachelor’s degree in Electronics Engineering/ Mechatronics Engineering.

· Fresh graduates are welcome to apply.

· Able to convert customers electrical / electronic requirements into system or solution. 

· Understanding electrical wiring diagram or single-line diagram would be a plus.

· Hands on experience in

o   electronics schematic design and PCB layout design with CAE software (e.g. Eagle, KiCAD, EasyEDA, Pulsonix, etc.), as well as deep knowledge of electronics components.

o   EMC

o   Testing & validation of Electronic Products

o   microcontroller programming with C or C++ language (e.g. Arduino, STM32, ESP32, AVR, Microchip, etc.).

o   accessing microcontroller peripherals (e.g. Digital I/O, ADC, Timer, Counter, Watchdog, UART, CAN, etc.).

o   Power Electronics design and knowledge would be an advantage.

o   software versioning system (e.g. Git, SVN, etc,) would be an advantage.

o   Embedded Design, Automotive Product Design, Functional Safety & Cyber Security, Product Development according to ISO 16750 would be an advantage.

· Proficiency in English, both written and spoken.

· Entrepreneurial personality with systematic and self-driven work style within team.

· Dynamic, creative, full initiative, and hard-working person with excellent communication skill.",indonesia,2026-05-02 00:36:15.296513,Tidak Disebutkan
91826101,Automation Technician,ML Engineer,Ai Engineer,Tidak Disebutkan,PT DISTRIBUTOR KOMPONEN UTAMA,Tidak Disebutkan,Tidak Disebutkan,Rp 6.000.000 - Rp 7.500.000,6000000.0,7500000.0,6750000.0,['r'],1,https://id.jobstreet.com/id/job/91826101,"Pria/wanita

Gelar Sarjana Teknik (S1) Jurusan Teknik Fisika, Elektronika, Instrument, dengan pengalaman minimal 1 tahun di bidang kontrol proses

Gelar Kejuruan Teknik (D3) Jurusan Teknik Fisika, Elektronika,Instrument dengan pengalaman minimal 2 tahun di bidang pengendali proses

Berpengalaman dalam Pemograman, Troubleshoot dan maintenance PLC, PLC Siemens (Siemens S7-1500 PLC dan S7-400 dan TIA Portal.

Mampu membaca dokumen P&ID, Wiring Diagram, Operation Manual, Diagram Ladder.

Memiliki pengetahuan tentang protokol jaringan industri seperti Profinet, Profibus, HART dan Modbus

Untuk penempatan kerja sebagai Operation and Maintenance PLC dan DCS Siemens di PT. Freeport Smelter & Refinery Gresik",indonesia,2026-05-02 00:36:23.764667,Rp 6.000.000 – Rp 7.500.000 per month
91821592,AI R&D Department Head,ML Engineer,Ai Engineer,Senior,Advance Innovations - AdIns,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,['r'],1,https://id.jobstreet.com/id/job/91821592,"Job Description

Translate enterprise AI strategy into executable roadmaps.
Oversee AI squads to deliver and scale AI models that drive operational and financial impact.
Collaborate with business units, Data & Analytics, and Technology to embed AI solutions into business workflows.
Work backwards to conceptualize and design analytic model frameworks to solve business problems.
Strong communication skills to share learnings and lead with the given strategy, getting multiple stakeholders to buy into the vision and execution of the analytics roadmap.
Requirements

Bachelor's degree or equivalent in a quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
Proven expertise in AI productization, MLOps, and applied machine learning.
Demonstrated success in leading AI teams delivering measurable ROI and operational efficiency.
At least 5 years of leadership experience.
Proven experience formulating data science solutions to business problems.
Proven ability to communicate with business stakeholders and understand business needs.
Work experience and knowledge of more than one domain is a plus (Risk Analytics, Marketing Analytics, Fraud Analytics, etc.).
Experience in Model Context Protocol is a plus.
Maximum age: 40 years.",indonesia,2026-05-02 00:36:27.993542,Tidak Disebutkan
91814983,Application Engineer – Process Analyzer & Instrumentation,ML Engineer,Ai Engineer,Senior,PT Indojaya Mitra Sarana,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,['r'],1,https://id.jobstreet.com/id/job/91814983,"PT Indojaya Mitra Sarana is an established automation and instrumentation integrator with over 20 years of experience, supporting major industries in Indonesia including Pulp & Paper, Chemicals, Metals, and Mining.
We are looking for a motivated Application Engineer to join our growing team. This role is ideal for fresh graduates or early-career engineers who are eager to learn and gain hands-on experience in process analyzers and instrumentation systems such as gas analyzers, CEMS, SWAS, water analyzers, and related technologies.

• Minimum D3 or Bachelor’s degree in Engineering or related field (Instrumentation, Electrical, Physics, Chemical, or equivalent)
• Fresh graduates are welcome (experience is a plus)
• Familiar with CAD software (AutoCAD or similar)
• Basic understanding of electrical drawings and documentation
• Strong willingness to learn about analyzers and automation systems
• Good communication and teamwork skills
• Willing to travel for site support
• Basic English proficiency

• Assist in preparing technical solutions for process analyzers and instrumentation systems
• Support development of engineering and electrical drawings (layout, wiring, hook-up, panel drawings) using CAD software
• Help prepare Bill of Quantities (BOQ) and technical documentation
• Support proposal and tender activities
• Assist in project coordination, documentation, and progress tracking
• Provide support during installation and commissioning when required

Why Join Us
• Hands-on exposure to real industrial analyzer systems
• Strong learning and mentoring environment
• Opportunity to work with leading industrial clients
• Clear career development path

Join us to be part of a company where engineering excellence meets long-term industry partnerships.

Submit your CV to: info@ims-automation.com",indonesia,2026-05-02 00:36:36.344591,Tidak Disebutkan
91812296,Packing Line Technology & Engineering,ML Engineer,Ai Engineer,Senior,ParagonCorp,Tidak Disebutkan,Tidak Disebutkan,Tidak Disebutkan,,,,"['git', 'scala', 'r']",3,https://id.jobstreet.com/id/job/91812296,"Deskripsi Pekerjaan Job Description
Develop, improve, and optimize packing line technologies to ensure efficiency, reliability, and scalability.
Lead and support automation initiatives across packing lines, including equipment upgrades, system integration, and process enhancements.
Conduct root-cause analysis and implement corrective/preventive actions to minimize downtime and improve line performance.
Collaborate with cross-functional teams (Production, Quality, Maintenance, CI) to ensure alignment with manufacturing standards and continuous improvement goals.
Manage vendor coordination for automation, equipment installation, trials, and technical evaluations.
Drive digitalization and innovation initiatives within packing line operations.
Ensure all engineering activities comply with safety, quality, and regulatory standards.

Requirements

Minimum 3 years of experience in manufacturing automation, industrial engineering, or related fields.
Strong understanding of automation systems, sensors, PLCs, and packing line machinery.
Experience in packing line engineering or automation (preferred).
Demonstrated passion for continuous improvement, lean manufacturing, and problem-solving methodologies.
Strong analytical thinking, project management skills, and hands-on engineering capability.
Able to work collaboratively with multiple stakeholders and operate in a fast-paced manufacturing environment.
Bachelor’s Degree in Mechanical Engineering, Electrical Engineering, Industrial Engineering, or related field.",indonesia,2026-05-02 00:36:44.736806,Tidak Disebutkan
