id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91680185,Backend Developer,PT Centria Integrity Advisory,,"Job Description

Developing and maintaining Laravel-based web applications including secure and scalable backend systems and APIs

This role involves Identify and fix bugs, optimizing performance, ensuring system stability and security

Write clean, maintainable, and efficient code, ensuring code quality

Collaborate with frontend developers, and other team members to deliver high-quality products

Stay updated with the latest industry trends and continuously improve skills

Working hybrid (WFO + WFA)

Requirements

Minimum D3/Bachelor's degree in Information Technology or related field

At least 1 year of experience as a Web Developer

Experienced in PHP, Laravel framework, and understanding of RESTful APIs

Experienced with MySQL and/or PostgreSQL databases

Experienced with Git for version control

Understanding basic deployment & docker is a plus",https://id.jobstreet.com/id/job/91680185,,Full Stack Developer,indonesia,"['postgresql', 'sql', 'git', 'r', 'mysql', 'scala', 'php', 'docker']",8,2026-04-22T17:04:33.618150
91680025,AI Workflow Engineer (Developer),PT Sinar Jernih Suksesindo,,"PT Sinar Jernih Suksesindo Bekerjasama dengan Bank Terkemuka di Indonesia mencari :




AI Workflow Engineer (Developer)

Penempatan : Jakarta

Kualifikasi :

Memiliki gelar Sarjana dari universitas terkemuka dengan latar belakang pendidikan di bidang Ilmu

Komputer/Teknologi Informasi, Sains & Teknologi, Data Engineering, atau bidang lain yang setara.

Memiliki pengalaman lebih dari 4 tahun sebagai AI/ML Developer atau Workflow Engineer di industri perbankan.

Memiliki pengalaman dalam mengembangkan dan mengimplementasikan orkestrasi workflow AI, automasi, serta pipeline AI.

Memiliki keterampilan dalam penggunaan database Ms. SQL Server dan MySQL.

Memiliki kemampuan pemrograman Python/Java yang kuat, serta keterampilan integrasi API.

Memiliki pemahaman yang kuat mengenai komponen teknologi AI seperti LLM, RAG, Vector Database,

Embedding, guardrails, dan sejenisnya.

Memahami tata kelola data, keamanan, serta siklus hidup model.

Memiliki kemampuan problem-solving dan optimasi yang kuat.

Memiliki pengalaman dalam pelaksanaan proyek dengan metode agile.

Mahir menggunakan Jira.

Memiliki kemampuan komunikasi dan interpersonal yang sangat baik.

Menguasai Bahasa Inggris lisan dan tulisan.

Bersedia bekerja dalam kontrak selama enam (6) hingga dua belas (12) bulan, dengan opsi perpanjangan apabila diperlukan.

Mampu bekerja sama dalam tim dan memiliki minat pada teknologi AI.

Berdomisili di Jabodetabek, Indonesia.

Job Desc :

Berkolaborasi dengan Project Manager, Business Analyst, Scrum Master, Delivery Manager, Development

Manager, System Analyst, dan pengguna untuk menghasilkan serta memelihara desain workflow dan pipeline AI.

Memahami kebutuhan pengguna dan mengembangkan workflow AI, model, persona AI, script, serta system prompt untuk mendukung aplikasi/sistem AI.

Memperbaiki defect software yang ditemukan selama tahap pengujian.

Mengoptimalkan performa workflow, skalabilitas, dan keamanan sistem.

Melakukan troubleshooting terhadap permasalahan sistem.

Menyusun dokumentasi teknis.




Pantau proses rekrutmen dengan krja+",https://id.jobstreet.com/id/job/91680025,,Full Stack Developer,indonesia,"['sql', 'java', 'scrum', 'r', 'mysql', 'python', 'agile']",7,2026-04-22T17:04:37.872214
91675771,IT Development,PT Clavisindo Berjaya,,"Gambaran Umum Pekerjaan
Kami dari PT Clavisindo Berjaya sedang mencari IT Developer atau IT Development yang berpengalaman dan berbakat untuk bergabung dengan tim kami di kantor kami di Gambir Jakarta Pusat. Sebagai IT Development, Anda akan memainkan peran penting dalam mengembangkan dan mengimplementasikan solusi sistem informasi yang selaras dengan tujuan bisnis perusahaan kami. Posisi ini membutuhkan pemikir strategis yang dapat mengidentifikasi peluang perbaikan proses dan mengembangkan solusi teknologi yang efektif.

Tanggung Jawab Utama :

Berkoordinasi dengan tim pengembangan untuk menentukan persyaratan aplikasi

Menulis kode yang dapat diskalakan menggunakan Odoo Framework

Menguji dan men-debug Aplikasi

Mengembangkan komponen back-end

Menganalisis, merancang, & mengoptimalkan struktur basis data

Mengintergrasikan solusi penyimpanan data

Melakukan pemograman ulang basis data yg ada untuk meningkatkan fungsionalitas

Memantau dan mengevaluasi kinerja sistem, dan memberikan rekomendasi perbaikan yang berkelanjutan.

Kualifikasi :

Pendidikan minimal S1 Sistem Komputer atau relevan

Minimal 1 tahun pengalaman sebagai IT Development, IT Developer, ERP Sofware Developer atau peran IT serupa. Freshgraduate dipersilahkan melamar

Berpengalaman dalam pengembangan kerangka kerja Odoo menjadi nilai tambah

Mampu mengintegrasikan beberapa sumber data & database menjadi satu sistem.

Memahami prinsip desain fundamental dibalik aplikasi yg dapat diskalakan

Memiliki minat besar dalam pengembangan aplikasi perusahaan

Pernah menangani projek aplikasi diperusahaan

Pemahaman dasar maupun kuat pada ERP, Odoo, Pyhton, Javascript, HTML, CSS, Query SQL, dll

Kemampuan analitis yang kuat dan pemecahan masalah yang baik.

Kemampuan komunikasi yang baik, baik lisan maupun tertulis.

Penempatan Head Office Gambir, Jakarta Pusat


Jika Anda tertarik untuk bergabung dengan tim kami yang dinamis, lamar sekarang!",https://id.jobstreet.com/id/job/91675771,,Full Stack Developer,indonesia,"['sql', 'java', 'javascript', 'r']",4,2026-04-22T17:04:42.068879
91677128,Software Developer,PT System Ever Indonesia,,"Job Description : 

Collaborate with other developers and cross-functional teams to understand project requirements.

Write clean, efficient, and maintainable code

Develop projects that within project timelines and deadlines

Debug and troubleshoot issues in the development, testing, and production environment

Requirements : 

Graduated from Computer Science, Software Engineering, or related

Having 1-3 years experience in the same field. Fresh graduate are welcome

Able to speak english both speaking & writting

Proficient in database programming such as MS SQL or MySql

Willingness to learn and adapt to new technologies and mobile development practices.

Understand ERP System Flow and mobile application more preferable

Skills :

Database Programming (MS SQL and/or MySql)

UI/UX Basic

Analyze & Problem-Solving Skills",https://id.jobstreet.com/id/job/91677128,Rp 7.500.000 – Rp 9.500.000 per month,Full Stack Developer,indonesia,"['sql', 'r', 'mysql']",3,2026-04-22T17:04:46.239533
91677068,Cloud Infrastructure (Junior),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),,"About the role

We are seeking a talented and motivated Cloud Infrastructure (Junior) to join our dynamic team at (Client) PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH). In this full-time position based in South Jakarta, you will play a crucial role in designing, implementing, and maintaining our cloud infrastructure solutions. As a key member of our Information & Communication Technology team, you will contribute to the growth and success of our business.

What you'll be doing

1. Tencent Cloud Infrastructure

2. Terraform

3. Kubernetes

4. CI/CD tools (jenkins, argoCD)

What we're looking for

Relevant experience in cloud infrastructure management, preferably in a professional or academic setting

Strong understanding of cloud computing platforms, such as AWS, Azure, or Google Cloud

Proficiency in scripting and automation tools (e.g., Terraform, Ansible, or PowerShell)

Familiarity with containerization technologies like Docker and Kubernetes

Excellent problem-solving and analytical skills

Ability to work collaboratively in a team environment

Proactive and eager to learn new technologies and techniques

About us

PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH) is a leading provider of innovative IT solutions in the Information & Communication Technology industry. Our mission is to empower our clients with cutting-edge technology and exceptional service. We pride ourselves on our commitment to excellence, our collaborative culture, and our dedication to driving positive change in the industry.

If you are excited about this opportunity and believe you have the skills and experience to succeed in this role, we encourage you to apply now.",https://id.jobstreet.com/id/job/91677068,,Full Stack Developer,indonesia,"['kubernetes', 'aws', 'azure', 'r', 'docker']",5,2026-04-22T17:04:50.402060
91678329,Golang Developer,PT Indocyber Global Teknologi,,"Job Description


Placement: At one of our clients from Banking (South Jakarta)

Working System: Full WFO

Employment Contract: PKWT/Contract (12 months)

*Only shortlisted candidate will be contacted


Job Description:

Design and implement highly scalable, low-latency microservices in Go.

Optimize existing services for maximum speed and efficiency.

Work with Message Queues (Kafka/RabbitMQ).Containerize applications using Docker and Kubernetes.

Minimum Qualifications


Job Requirement:

Bachelor's Degree (S1) in Computer Science, Informatics Engineering, Information System, etc

2+ years of professional experience with Go (Golang).

Deep understanding of Goroutines, channels, and the Go runtime.

Deep understanding of Massage Broker and Microservices (Kafka & RabbitMQ)

Experienced with SQL/NoSQL databases (PostgreSQL, MongoDB, Redis).",https://id.jobstreet.com/id/job/91678329,,Full Stack Developer,indonesia,"['golang', 'redis', 'kubernetes', 'postgresql', 'sql', 'kafka', 'r', 'scala', 'docker', 'mongodb']",10,2026-04-22T17:04:54.557097
91674879,Senior Odoo Developer,PT IDStar Cipta Teknologi,,"Responsibilities

Develop, customize, and maintain Odoo applications and ERP modules.

Perform full-stack development including backend logic and frontend customization.

Handle end-to-end Odoo implementation and enhancement projects.

Design and customize ERP workflows based on business requirements.

Develop new modules and enhance existing Odoo features.

Integrate Odoo with third-party systems or external APIs.

Perform system configuration, debugging, troubleshooting, and performance optimization.

Support Change Requests (CR) and ongoing system improvements.

Conduct testing, deployment, and documentation of developed solutions.

Provide technical support and knowledge transfer when required.




Requirements

Minimum 5 years of experience as an Odoo Developer.

Proven experience as Senior Full Stack Odoo Developer.

Strong experience working with ERP modules.

Hands-on experience with Odoo version 17 or higher.

Strong knowledge of: Python programming, Odoo Framework & ORM, PostgreSQL database, XML, JavaScript, HTML, CSS

Odoo module customization & development

Experience in ERP implementation lifecycle.

Good understanding of business processes within ERP systems.

Strong problem-solving and analytical skills.

Able to work independently and collaboratively in onsite projects",https://id.jobstreet.com/id/job/91674879,,Full Stack Developer,indonesia,"['postgresql', 'sql', 'java', 'javascript', 'r', 'python']",6,2026-04-22T17:04:58.745658
91673936,Staff IT,PT RUTAN,,"Tugas dan Tanggungjawab

1. Berkomunikasi dengan user terkait kebutuhan pengembangan software

2. Mengembangkan dan memelihara software perusahaan (Web + Mobile)

3. Merancang dan mengimplementasikan backend dan frontend

4. Melakukan debugging dan memperbaiki bug sistem

5. Membuat timeline pengembangan software

6. Menyusun dokumentasi teknis dan standar

7. Berkolaborasi dengan tim untuk memastikan kualitas dan performa aplikasi




Persyaratan

1. Pendidikan minimal Diploma III / S1, jurusan Teknik Informatika

2. Mempunyai pengalaman/ kompetensi sebagai berikut:

Menguasai PHP, Javascript, Kotlin, Flutter

Menguasai OOP, REST API, dan database (PostgreSQL, Hana)

Memahami dasar Service Layer SAP

Terbiasa menggunakan GIT

Memahami dasar keamanan web (authentication, authorization, validasi input).

Mampu membaca source yang ada dan mengembangkannya",https://id.jobstreet.com/id/job/91673936,,Full Stack Developer,indonesia,"['kotlin', 'postgresql', 'sql', 'java', 'git', 'flutter', 'javascript', 'r', 'php']",9,2026-04-22T17:05:02.883294
91673657,Full Stack Developer,PT Idana Solusi Sejahtera,,"Job Description

1. Infrastructure & System Administration

Mengelola dan memelihara server Linux/Windows untuk memastikan ketersediaan, keamanan, dan performa sistem.

Melakukan deployment dan pengelolaan aplikasi menggunakan Docker containerization.

Monitoring sistem, resource server, dan troubleshooting untuk menjaga high availability layanan.

Mengelola konfigurasi jaringan, firewall, dan security hardening pada server.

2. Application Deployment & Automation

Mengelola proses build dan deployment aplikasi menggunakan Docker-based environment.

Mengembangkan dan memelihara website hompage perusahaan menggunakan Hugo static site generator.

Mengotomatisasi proses operasional menggunakan Python scripting.

3. Data Management & Integration

Menjalankan ad hoc SQL queries untuk kebutuhan analisis data dan support operasional.

Mengelola proses data transfer melalui SFTP menggunakan Python automation.

Melakukan validasi, monitoring, dan troubleshooting proses pengiriman data.

4. Regulatory Compliance & Security

Mendukung implementasi IT Compliance sesuai regulasi OJK pada industri fintech.

Menangani integrasi dan pelaporan data ke SLIK (Sistem Layanan Informasi Keuangan) dan PUSDAFIL.

Mendukung implementasi standar keamanan informasi ISO (misalnya ISO 27001 / ISO 27002).

Mendukung pemenuhan regulasi dan pelaporan yang terkait dengan AFPI (Asosiasi Fintech Pendanaan Bersama Indonesia) dan CBI (Credit Bureau Indonesia).

Menyediakan dokumentasi dan audit trail untuk kebutuhan audit internal maupun regulator.

5. Monitoring & Reliability

Melakukan monitoring sistem, aplikasi, dan pipeline untuk memastikan sistem berjalan stabil.

Melakukan incident response dan root cause analysis terhadap gangguan sistem.

Meningkatkan reliability dan scalability infrastruktur.

Skills & Technologies

Operating System: Linux (Ubuntu), Windows

Containerization: Docker

Scripting: Python

Database: SQL (MySQL / PostgreSQL)

Data Transfer: SFTP Automation

Static Site: Hugo, HTML, JavaScript, CSS

Monitoring: Grafana

Compliance: OJK IT Compliance, SLIK Reporting, AFPI, CBI

Standards: ISO Information Security",https://id.jobstreet.com/id/job/91673657,,Full Stack Developer,indonesia,"['postgresql', 'sql', 'linux', 'java', 'javascript', 'r', 'mysql', 'python', 'scala', 'docker']",10,2026-04-22T17:05:07.062775
91670678,Program Executive (IT/STEM) - JAKARTA,The Global Citizen Pte. Ltd.,,"COMPANY OVERVIEW

Established in 2015, The Global Citizen Education Group seeks to inspire change and make a difference by transforming every learner into a global citizen. Our goal is to empower individuals to seize the opportunities of the 21st century and develop holistically as lifelong learners.  

Headquartered in Singapore, The Global Citizen Education Group continues to expand our reach to over 27 countries in the world. Our hope is to nurture global citizens who will make positive contributions to the community around them and innovate the world we live in. 




JOB OVERVIEW

This position is a paid full-time position offered by The Global Citizen Education Group. We are seeking a full-time STEM Education Programmes Executive, based in Jakarta, with occasional travel to regional markets. The role primarily involves developing and managing our education programmes. The ideal candidate will play a crucial role in enhancing our educational programs, focusing on creating impactful lesson materials, training our trainers, and actively engaging in the teaching and learning process.



RESPONSIBILITIES

Support the development and enhancement of TGCEG’s STEM-based education programmes, under the Eureka STEM Academy (ESA), contributing to the design, refinement, and delivery of modules across areas such as Coding, AI, and Robotics.

Actively participate in teaching, delivering educational content, and engaging with students as part of TGCEG's diverse programme offerings.

Be expected to travel to Singapore and other international partner locations as needed to assist in the coordination, facilitation, and implementation of TGCEG’s programmes and events.

Manage inventory, company records, venue bookings, and staff scheduling to support program operations effectively.

Coordinate and provide on-site support for educational events, workshops, and camps, ensuring successful implementation and operation.

Train, manage, and support trainers in implementing TGCEG’s programmes, ensuring they are well-equipped to deliver high-quality education.

Assist in reviewing, evaluating, and reporting on the effectiveness of TGCEG's programmes, including preparing reports.

Build and manage relationships with clients, program partners, and other stakeholders. This includes liaising with offices in other cities for timely updates and information dissemination.

Manage and evaluate vendors and consultants related to TGCEG's programmes, ensuring quality and efficiency.


SKILLS AND QUALIFICATIONS

Minimum  a Bachelor’s degree in Computer Science, Information Technology, Engineering, or related field

Minimum 3 year of experience in teaching; fresh graduates with relevant experience may also apply

Experience in coding, AI, or technology education (professional or teaching experience)

Competency in one or more programming languages (Python, C++ etc)

Experience in event management is a plus

Proficient in English with strong writing and communication skills

Ability to work in a dynamic, fast-paced environment

Willingness to travel for short work trips


PERSONAL CHARACTERISTICS

Effective communicator, capable of engaging with diverse groups.

Resourceful with excellent problem-solving skills.

Independent, task-driven, and comfortable in high-pressure, multitasking situations.

Team player with leadership qualities and a proactive approach.

Adaptability to diverse cultural, linguistic, and work style environments.

Detail-oriented and organised.




 BENEFITS

Competitive salary

Travel opportunities with expenses covered.

Ongoing professional development.




APPLICATION INSTRUCTIONS

Interested applicants should send a resume or CV accompanied by a cover letter to humanresources@theglobalcitizeneducation.com. Applications and interviews will be conducted on a rolling basis, and we will close the application once the position has been filled. All applications should be submitted in English, and any supporting documents that are not originally in English should be translated. 

Kindly understand that due to the volume of applications that may be received, only applications that are selected for an interview will be contacted. Interviews may be conducted online or in person, depending on the availability of the relevant interviewer.",https://id.jobstreet.com/id/job/91670678,"Rp 12,000,000 – Rp 15,000,000 per month",Full Stack Developer,indonesia,"['c++', 'r', 'python']",3,2026-04-22T17:05:11.261339
