id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91868248,Software Engineering,PT Sumber Inti Perkasa Pembangunan,,"Tugas & Tanggung Jawab:

Membangun dan mengembangkan ekosistem sistem informasi serta mendesain database untuk menjamin integritas data dan performa aplikasi yang optimal.  

Melakukan debugging, troubleshooting, dan optimasi aplikasi secara rutin guna memastikan operasional sistem tetap lancar.

Menganalisis proses bisnis antar departemen untuk menerjemahkannya ke dalam solusi sistem demi mendukung digitalisasi kerja perusahaan.

Mengintegrasikan sistem internal dengan aplikasi pihak ketiga melalui API dan berkoordinasi dengan user mulai dari gathering requirement hingga implementasi.  

Menyusun dokumentasi teknis dan user manual yang komprehensif untuk mempermudah operasional serta pemahaman sistem oleh pengguna.

Kualifikasi:

Menguasai bahasa pemrograman baik Backend maupun Frontend.

Menguasai Frontend Framework (React, Vue, atau Angular) akan menjadi nilai tambah.

Menguasai manajemen database (MySQL, PostgreSQL, atau SQL Server).

Memiliki pemahaman mendalam mengenai integrasi REST API.

Memiliki kemampuan pemecahan masalah (problem solving) yang baik dan mampu bekerja secara mandiri.

Memiliki keterampilan komunikasi yang efektif untuk berinteraksi dengan berbagai pihak.",https://id.jobstreet.com/id/job/91868248,,Programmer,indonesia,"['sql', 'angular', 'r', 'git', 'react', 'postgresql', 'mysql', 'vue']",8,2026-05-02T15:55:53.240569
91868152,Head of MIS (SAP S/4HANA – ABAP Developer),PT Arisamandiri Pratama,,"Kualifikasi :
1. Minimum Bachelor’s Degree (S1) in Information Technology, Information Systems, Computer Science, Engineering, or related fields.

2. Strong experience in SAP S/4HANA environment.

3. Developer background is required, with proven experience in developing SAP programs using ABAP.

4. Solid understanding of SAP programming concepts and customization.

5. Strong leadership, communication, and stakeholder management skills.

6. Strong analytical and problem-solving abilities.

7. Able to work under pressure and meet project deadlines.

8. Experience in leading MIS/IT team is an advantage.

Job Summary :
1. Lead and manage MIS/IT team to ensure effective SAP S/4HANA system operations and support.

2. Develop, maintain, and enhance SAP S/4HANA programs using ABAP in accordance with business requirements.

3. Analyze user requirements and translate them into functional and technical solutions.

4. Create and modify SAP reports, forms, interfaces, enhancements, and custom developments.

5. Troubleshoot system issues and provide effective resolution to ensure minimal disruption.

6. Coordinate with internal departments to optimize business processes through SAP solutions.

7. Manage SAP project implementation, improvement initiatives, and system integration activities.

8. Ensure proper documentation, SOP updates, and compliance with IT governance standards.

9. Liaise with external vendors/consultants when necessary to ensure project success.

10. Monitor system performance and ensure data integrity, security, and reliability.",https://id.jobstreet.com/id/job/91868152,Rp 10.000.000 – Rp 15.000.000 per month,Programmer,indonesia,['r'],1,2026-05-02T15:55:57.383175
91867598,Laravel & Vue.js Full-Stack Engineer,White Code Labs,,"About Us

White Code Labs is an award-winning enterprise software company working with mid-sized organizations and large enterprises.

We focus on AI, automation, cloud, and DevOps, with a strong emphasis on cost efficiency and operational excellence. Our mission is to help organizations modernize their systems, improve workflows, and deliver measurable business impact through practical, well-engineered solutions.

About the Role

We are seeking a highly capable and execution-focused Full-Stack Engineer (Laravel & Vue.js) to contribute to the development of core product features for an early-stage platform.

This is a hands-on role where you will be responsible for building real-world operational tools. The work requires a strong focus on usability, performance, and accuracy, with an emphasis on delivering practical solutions quickly.


Key Responsibilities

Develop and deliver end-to-end features using Laravel (backend) and Vue.js (frontend)

Design scalable APIs and backend services

Structure and manage complex relational data models

Implement and enforce business logic and validation at the backend

Build intuitive, high-performance user interfaces, particularly for data-intensive workflows

Optimize workflows for efficiency, including keyboard-friendly interactions and minimal friction

Iterate rapidly based on user feedback and evolving requirements

Leverage AI tools (e.g., ChatGPT, Claude) to enhance development productivity


Tech Stack

Backend: PHP (Laravel)

Frontend: Vue.js (Composition API preferred)

Database: MySQL / PostgreSQL

Infrastructure: AWS or comparable cloud platforms

You should be comfortable working within this stack and delivering production-ready features efficiently.


What We’re Looking For

Proven experience working with Laravel in production environments

Strong proficiency in Vue.js or similar modern frontend frameworks

Solid understanding of relational database design and data modeling

Experience implementing backend validation and enforcing business rules

Ability to independently deliver complete features from concept to deployment

Comfortable operating in fast-paced, evolving environments

Strong product thinking with the ability to translate ambiguous requirements into practical solutions

Experience effectively using AI tools for development (prompting, refining, validating outputs)

Strong communication skills and problem-solving ability",https://id.jobstreet.com/id/job/91867598,"Rp 16,000,000 – Rp 23,000,000 per month",Programmer,indonesia,"['sql', 'scala', 'r', 'postgresql', 'mysql', 'aws', 'vue', 'php']",8,2026-05-02T15:56:01.469618
91867433,Senior Full-Stack Engineer-(Laravel + Vue),,,"Senior Full-Stack Engineer (Laravel + Vue)

About Us

White Code Labs is an award-winning enterprise software company that partners with mid-sized businesses and large enterprises.

We specialize in AI, automation, cloud, and DevOps, with a strong focus on cost optimization and operational efficiency. Our work is centered around helping organizations modernize their systems, streamline workflows, and unlock measurable business value through thoughtful engineering and practical innovation.

About the Role:

We are looking for a pragmatic, high-output full-stack engineer (Laravel + Vue) to help build and ship core product features for an early-stage platform.

This is a hands-on, execution-driven role. You’ll work closely with the team to build real-world operational tools, where usability, performance, and correctness matter.


What You’ll Do

Build and ship end-to-end features using Laravel (backend) and Vue (frontend)

Design and implement clean APIs and backend services

Model and manage complex relational data structures

Enforce business rules and validation at the backend level

Build efficient, user-friendly interfaces, especially for data-heavy workflows

Optimize for speed of use, including keyboard-friendly interactions and minimal friction

Iterate quickly based on real user feedback

Use AI tools (ChatGPT, Claude, etc.) as a core part of your development workflow


Tech Stack

Backend: PHP (Laravel)

Frontend: Vue.js (Composition API preferred)

Database: MySQL / PostgreSQL

Infrastructure: AWS or modern cloud platforms

You should be comfortable working within this stack and shipping quickly.


What We’re Looking For

Strong experience with Laravel in production environments

Solid experience with Vue.js (or similar modern frontend frameworks)

Strong understanding of relational data modeling and entity relationships

Experience implementing backend validation and enforcing business constraints

Ability to build and ship complete features end-to-end

Comfort working in fast-paced, ambiguous environments

Strong product instincts — able to turn unclear requirements into simple, usable solutions

Experience using AI tools effectively, including prompting, refining, and validating outputs

Clear communication and strong problem-solving ability


What Makes Someone Successful in This Role

You prioritize correctness where it matters (data integrity, validation)

You optimize for usability, especially in repetitive workflows

You avoid overengineering and focus on practical, maintainable solutions

You move quickly, but with good judgment and clear thinking

You treat AI as a multiplier, not a crutch


Bonus Points

Experience building data-heavy or operational tools (e.g., admin panels, internal systems)

Experience with Vue 3 and modern frontend tooling

Background in early-stage startups (0→1 builds)

Experience with performance optimization (caching, query tuning, API efficiency)

Side projects or products you’ve built independently",https://id.jobstreet.com/id/job/91867433,"Rp 15,000,000 – Rp 20,000,000 per month",Programmer,indonesia,"['sql', 'r', 'postgresql', 'mysql', 'aws', 'vue', 'php']",7,2026-05-02T15:56:05.672272
91861434,Software Engineer,Macquarie Group,,"Additional office locations

Melbourne, Sydney

Job ID

21706

Date

01-May-2026

Permanent - Full time, Mid-level, Mid-senior

Job category

BFS - Software Engineer

We are seeking a Senior Engineer to contribute to the engineering and technical direction of our Open Payments Platform. This is a great opportunity for an experienced engineer looking to deepen their craft, take ownership of critical platform components, and grow their influence within a high-performing team.

In this role, you will work on one or more core components of the Payments Platform, contributing to reliability, performance, and operational excellence. Reporting to the Engineering Manager and working closely with the lead engineer, you will be an active voice in technical discussions and decision-making within the team, and a go-to resource for peers seeking technical guidance.

You will bring a hands-on, high-output approach to delivering high-quality code, and will help elevate the technical proficiency of the team through knowledge sharing, mentorship, and rigorous code reviews. You will translate architectural guidance into solid technical designs and implementation plans, balancing ideal solutions with delivery timelines and business needs.

We are seeking a Senior Engineer to contribute to the engineering and technical direction of our Open Payments Platform. This is a great opportunity for an experienced engineer looking to deepen their craft, take ownership of critical platform components, and grow their influence within a high-performing team.

In this role, you will work on one or more core components of the Payments Platform, contributing to reliability, performance, and operational excellence. Reporting to the Engineering Manager and working closely with the lead engineer, you will be an active voice in technical discussions and decision-making within the team, and a go-to resource for peers seeking technical guidance.

You will bring a hands-on, high-output approach to delivering high-quality code, and will help elevate the technical proficiency of the team through knowledge sharing, mentorship, and rigorous code reviews. You will translate architectural guidance into solid technical designs and implementation plans, balancing ideal solutions with delivery timelines and business needs.",https://id.jobstreet.com/id/job/91861434,,Programmer,indonesia,['r'],1,2026-05-02T15:56:09.874694
91859472,Flutter / Dart Developer,PT John Galt Properties,,"Ready To Build Something Real?

John Galt Services seeks a full-time Flutter / Dart Developer to serve a US customer building an intelligent financial advisory platform that helps consumers understand and improve their credit using agentic AI workflows, real-time streaming, and a polished mobile experience.

This is a production SaaS product with real users and real money flowing through it. The mobile app is the primary interface for consumers: financial analysis dashboards, conversational AI interactions, real-time notifications, and data visualization. It's built in Flutter/Dart, backed by a serious NestJS API.

You won't be building throwaway prototypes or pixel-pushing someone else's Figma. You'll be shipping features that real users rely on to manage their financial lives. The codebase is modern, the architecture is serious, and the problems are interesting.

You must be fluent in English. You will join our customer's development team as a remote member with real responsibilities — not busywork.

IMPORTANT!

Your application is our first test of your attention to detail and ability to follow instructions. 👀

👉 Read this ENTIRE job listing!

👉 Follow the application instructions EXACTLY!

👉 If you do not meet the minimum qualifications for the job, DO NOT APPLY!

If you fail to follow the instructions below, we will reject your application without reading it!

Minimum Job Qualifications

FLUENT SPOKEN & WRITTEN ENGLISH! You will communicate daily with a US-based team. Your English must be clear and confident — spoken and written. If you aren't sure, keep practicing and apply next time.

SOLID FLUTTER & DART SKILLS! You must have built and shipped at least one production Flutter app. You understand state management, widget lifecycle, platform channels, and how to write clean, maintainable Dart. If your apps are held together with setState spaghetti and you've never thought about architecture, keep learning and come back.

EXPERIENCE WITH REAL-TIME & API INTEGRATION! The app communicates with a NestJS back end via REST and real-time streaming (WebSockets / SSE). You should be comfortable consuming APIs, handling authentication flows (JWT), managing local state and caching, and building responsive UIs that reflect live data.

WILLINGNESS TO LEARN AND TAKE OWNERSHIP! This app integrates financial data feeds, conversational AI, and data visualizations. You won't be expected to know all of these on day one, but you'll be expected to dig in and figure things out. If you need someone looking over your shoulder at every step, this role will be frustrating for both of us.

A DISCIPLINED ENGINEERING APPROACH! You write tests. You read the requirements before you code. You don't push to main and pray. We don't expect perfection. We DO expect professionalism.

You MUST have at least a Bachelor degree.

You MUST be willing to work late night hours.

You MUST either live on Bali or be willing to relocate to Bali.

You MUST have the right to work legally in Indonesia. JGS does NOT sponsor work visas!

ATTENTION TO DETAIL! The moment we see your application, we'll know.

If you do not meet ALL of these requirements, DO NOT APPLY for this job!

Nice To Have

iOS & Android platform-specific experience

Firebase / push notifications

CI/CD for mobile (Fastlane, Codemagic, GitHub Actions)

Responsive design & accessibility

Figma-to-Flutter workflows

Git & GitHub

REST API design & consumption

State management frameworks (Riverpod, Bloc, Provider)

Working Arrangements

You are supporting our customer remotely, but this is NOT a remote job! We will provide working space and equipment near Canggu, Bali. All work is performed on-site.

Salary & Benefits

New associates start at a probationary pay scale of IDR 8 jt / month gross (i.e. before taxes & benefits). Your probationary period is three months.

If we retain you past three months, your pay will increase to IDR 12 jt / month gross.

We pay performance bonuses based on your ability to contribute. The less hand-holding you need and the less rework your code requires, the more valuable you are to the team. After your probationary period, we will pay up to a 50% bonus for any month in which you meet or exceed our expectations. This would bring your pay as high as IDR 18 jt / month gross.

We also reserve a large pool of funds for staff perks, events & annual bonuses. If we are happy with your work, you will be VERY happy with your choice!

Also, our office is just minutes from the beach, right outside Canggu, Bali. If you know, you know!

Who Is John Galt?

Good question! Might help to show up at your interview with an answer.

HOW TO APPLY 👈

Make sure your JobStreet profile includes a valid email & WhatsApp phone number.

Include this EXACT cover letter:

It must be written in fluent English, BY YOU, not by an AI assistant. We can tell! 👀

The very top line of the cover letter should contain ONLY a link to your GitHub profile. Nothing else.

Below this, describe your experience as a Flutter / Dart developer. There will be thousands of applicants for this job. Explain why we should pick YOU.",https://id.jobstreet.com/id/job/91859472,Rp 12.000.000 – Rp 18.000.000 per month,Programmer,indonesia,"['flutter', 'android', 'r', 'git', 'ios', 'rust']",6,2026-05-02T15:56:14.117366
91859310,Senior Back-End TypeScript Developer,PT John Galt Properties,,"Ready To Build Something Real?

John Galt Services seeks a full-time Senior Back-End TypeScript Developer to serve a US customer building an intelligent financial advisory platform that helps consumers understand and improve their credit using agentic AI workflows, retrieval-augmented generation (RAG), and real-time streaming.

This is a production SaaS product with real users and real money flowing through it: financial analysis, personalized recommendations, dispute generation, debt payoff planning. The back end is a NestJS API with over 100 domain modules, multi-tenant PostgreSQL with row-level security, background job processing, AI-powered features, and integrations with QuickBooks, Google Calendar, and e-signature providers.

You won't be maintaining a legacy codebase nobody cares about. You'll be shipping features that real users rely on. The codebase is modern, the architecture is serious, and the problems are interesting.

You must be fluent in English. You will join our customer's development team as a remote member with real responsibilities — not busywork.

IMPORTANT!

Your application is our first test of your attention to detail and ability to follow instructions. 👀

👉 Read this ENTIRE job listing!

👉 Follow the application instructions EXACTLY!

👉 If you do not meet the minimum qualifications for the job, DO NOT APPLY!

If you fail to follow the instructions below, we will reject your application without reading it!

Minimum Job Qualifications

FLUENT SPOKEN & WRITTEN ENGLISH! You will communicate daily with a US-based team. Your English must be clear and confident — spoken and written. If you aren't sure, keep practicing and apply next time.

SENIOR-LEVEL TYPESCRIPT SKILLS! This is a senior role. You must understand and value type safety, know your way around generics, utility types, and advanced patterns. If your instinct is to slap any on everything and ""fix it later,"" this isn't the right fit.

EXPERIENCE WITH NestJS OR SIMILAR FRAMEWORKS! The back end is a NestJS API backed by PostgreSQL (TypeORM), with background job processing (BullMQ), JWT authentication, and Docker-based deployment. You should have built and shipped production APIs with a modern Node.js framework. If the words ""dependency injection"" make you nervous, this role requires more experience than you currently have.

EXPERIENCE WITH AI/LLM INTEGRATION IS A PLUS! The platform includes a RAG pipeline built on LangChain, LangGraph-based agentic workflows, and vector search. You don't need to be an ML engineer, but familiarity with integrating LLM APIs and building AI-augmented features will set you apart.

WILLINGNESS TO LEARN AND TAKE OWNERSHIP! This codebase integrates with QuickBooks, SignNow, Google APIs, and includes AI pipelines you'll need to understand deeply. You won't be expected to know all of these on day one, but you'll be expected to dig in and figure things out. If you need someone looking over your shoulder at every step, this role will be frustrating for both of us.

A DISCIPLINED ENGINEERING APPROACH! You write tests. You read the requirements before you code. You don't push to main and pray. We don't expect perfection. We DO expect professionalism.

You MUST have at least a Bachelor degree.

You MUST be willing to work late night hours.

You MUST either live on Bali or be willing to relocate to Bali.

You MUST have the right to work legally in Indonesia. JGS does NOT sponsor work visas!

ATTENTION TO DETAIL! The moment we see your application, we'll know.

If you do not meet ALL of these requirements, DO NOT APPLY for this job!

Nice To Have

Docker & Docker Compose

PostgreSQL / TypeORM

BullMQ or similar job queues

REST API design & Swagger/OpenAPI

AWS (ECR, deployment pipelines)

OpenTelemetry / observability

Git & GitHub Actions

LangChain / LangGraph / vector databases

Working Arrangements

You are supporting our customer remotely, but this is NOT a remote job! We will provide working space and equipment near Canggu, Bali. All work is performed on-site.

Salary & Benefits

New associates start at a probationary pay scale of IDR 16 jt / month gross (i.e. before taxes & benefits). Your probationary period is three months.

If we retain you past three months, your pay will increase to IDR 24 jt / month gross.

We pay performance bonuses based on your ability to contribute. The less hand-holding you need and the less rework your code requires, the more valuable you are to the team. After your probationary period, we will pay up to a 50% bonus for any month in which you meet or exceed our expectations. This would bring your pay as high as IDR 36 jt / month gross.

We also reserve a large pool of funds for staff perks, events & annual bonuses. If we are happy with your work, you will be VERY happy with your choice!

Also, our office is just minutes from the beach, right outside Canggu, Bali. If you know, you know!

Who Is John Galt?

Good question! Might help to show up at your interview with an answer.

HOW TO APPLY 👈

Make sure your JobStreet profile includes a valid email & WhatsApp phone number.

Include this EXACT cover letter:

It must be written in fluent English, BY YOU, not by an AI assistant. We can tell! 👀

The very top line of the cover letter should contain ONLY a link to your GitHub profile. Nothing else.

Below this, describe your experience as a senior back-end developer. There will be thousands of applicants for this job. Explain why we should pick YOU.",https://id.jobstreet.com/id/job/91859310,Rp 24.000.000 – Rp 36.000.000 per month,Programmer,indonesia,"['sql', 'r', 'docker', 'git', 'typescript', 'postgresql', 'rust', 'aws']",8,2026-05-02T15:56:18.290472
91858612,Backend Developer Golang,PT. Entrepreneur Trust Digital,,"Company Description
We are PT Entrust Digital, IT Outsourcing Company, we are currently looking for Golang Developer that can work onsite for our client in Jakarta

Role Description
This is a contract role for a Backend Developer (Golang) located in the Jakarta Metropolitan Area. The Backend Developer will be responsible for developing, testing, and maintaining backend systems and applications using Golang.

Qualifications

Proficiency in Back-End Web Development and Programming

Strong knowledge of Software Development principles and methodologies

Experience in Object-Oriented Programming (OOP)

2 Years working experience with Golang

Experience with Redis, Goroutine, Docker

Experience with Message Broker such as Kafka or RabbitMQ

Ability to work collaboratively in an on-site team environment

Bachelor's degree in Computer Science, Engineering, or a related field

Experience with cloud services and database management is advantageous




Working Onsite, 1 Year Contract (Extendable)",https://id.jobstreet.com/id/job/91858612,Rp 9.000.000 – Rp 11.000.000 per month,Programmer,indonesia,"['r', 'docker', 'git', 'golang', 'redis', 'rust', 'kafka']",7,2026-05-02T15:56:22.447023
91856545,ERP Developer (Odoo),AGRO BOGA UTAMA GROUP,,"Qualifications:

Bachelor’s Degree in Information Technology (Information Systems, Computer Science, or related field)

Minimum 2–4 years experience in software development, with hands-on experience in Odoo development

Proven experience in developing and customizing Odoo modules (CRM, inheritance, views, workflows)

Proficient in Python, PostgreSQL, JavaScript, and API integration (REST/XML-RPC)

Experience working with Odoo modules such as Sales, Inventory, Accounting, HR, or Manufacturing

Able to demonstrate at least 2–3 Odoo custom modules or projects (portfolio required)

Strong understanding of business processes (ERP systems)

Experience with Microsoft Dynamics AX 2012 is a plus

Good analytical thinking, problem-solving skills, and communication skills

Able to work independently and collaboratively in a team

Willing to work on-site (WFO) Monday–Saturday in Pondok Pinang, South Jakarta

Job Description:

Develop, customize, and maintain ERP systems using Odoo framework

Design and implement custom Odoo modules based on business requirements

Perform development using Python, PostgreSQL, and XML (QWeb)

Integrate Odoo with third-party systems via API (REST/JSON/XML-RPC)

Conduct testing, debugging, and troubleshooting of applications

Analyze existing ERP systems and propose improvements for performance and efficiency

Prepare technical documentation and support functional documentation

Collaborate with internal teams (Finance, Operations, HR, etc.) to optimize ERP usage

Support system deployment, configuration, and upgrades",https://id.jobstreet.com/id/job/91856545,,Programmer,indonesia,"['sql', 'python', 'r', 'javascript', 'postgresql', 'java']",6,2026-05-02T15:56:26.602044
91847636,Web Designer,Nov Inc.,,"What You Will Do

Design, develop, and maintain mobile applications (Android - Kotlin / Flutter) OR web applications (ASP.NET MVC).
Develop and integrate backend APIs using C# and modern architecture.
Work as a fullstack developer handling both frontend (mobile/web) and backend development.
Write clean, efficient, and maintainable code following best practices.
Perform testing, debugging, and performance optimization.
Support system implementation, deployment, upgrades, and enhancements.
Participate in UAT, documentation, user training, and post-implementation support.
Ensure application performance, quality, security, and reliability.
Troubleshoot and resolve application, database, and system issues.
Continuously learn and apply new technologies and improvements.

Technical Skills & Experience

Experience in ASP.NET MVC / .NET (C#) and/or mobile development (Kotlin / Flutter).
Proficiency in HTML5, CSS3, and/or mobile UI/UX principles.
Experience in API development and integration (RESTful services).
Strong knowledge of database design and SQL (Microsoft SQL Server).
Familiarity with Git or other version control systems.
Understanding of application architecture patterns (MVC, MVVM, Clean Architecture).
Experience in debugging, performance tuning, and optimization.
Understanding of deployment processes and application lifecycle (web or mobile).

Qualifications & Requirements

Minimum Diploma or Degree in Computer Science, Information Technology, Electronics/Computer Engineering, or related field.
Minimum 1 year experience in either .NET (web) OR mobile development (Android / Flutter).
Strong analytical and problem-solving skills.
Ability to work effectively with cross-functional teams and stakeholders.
Good communication and interpersonal skills.
Self-motivated, positive attitude, and a strong team player.",https://id.jobstreet.com/id/job/91847636,,Programmer,indonesia,"['sql', 'flutter', 'android', 'r', 'git', 'kotlin', 'c#']",7,2026-05-02T15:56:30.803725
